Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,0.639068,0.716854,0.621092,0.647390,0.647390,157257
2017-11-10,0.648932,0.660230,0.585215,0.604047,0.604047,56687
2017-11-11,0.606385,0.617200,0.551585,0.557588,0.557588,17115
2017-11-12,0.557192,0.567791,0.486704,0.527745,0.527745,32786
2017-11-13,0.528279,0.587292,0.526835,0.576645,0.576645,14139
2017-11-14,0.578357,0.631974,0.577561,0.621110,0.621110,36619
2017-11-15,0.621687,0.672653,0.621687,0.663284,0.663284,20372
2017-11-16,0.666562,0.699816,0.650278,0.684521,0.684521,24696
2017-11-17,0.683308,0.686734,0.634302,0.635759,0.635759,25848
2017-11-18,0.633664,0.652109,0.617180,0.642771,0.642771,12360
2017-11-19,0.641903,0.661295,0.629572,0.653429,0.653429,16977
2017-11-20,0.653046,0.673014,0.640610,0.665012,0.665012,15929
2017-11-21,0.657983,0.749033,0.635096,0.728386,0.728386,83547
2017-11-22,0.729469,0.778686,0.700772,0.720005,0.720005,99058
2017-11-23,0.707553,0.745774,0.684028,0.692952,0.692952,55751
2017-11-24,0.689779,0.729168,0.683940,0.714927,0.714927,38290
2017-11-25,0.713448,0.788232,0.664363,0.736471,0.736471,253572
2017-11-26,0.750674,0.776191,0.720131,0.739390,0.739390,33640
2017-11-27,0.739550,0.789740,0.730813,0.764849,0.764849,31817
2017-11-28,0.765629,0.780272,0.751084,0.753568,0.753568,28052
2017-11-29,0.752939,0.824708,0.680403,0.688632,0.688632,34947
2017-11-30,0.680951,0.738419,0.651704,0.712309,0.712309,20695
2017-12-01,0.710526,0.772681,0.677048,0.753196,0.753196,36386
2017-12-02,0.752878,0.814271,0.730829,0.780675,0.780675,33931
2017-12-03,0.781511,0.976163,0.761083,0.891227,0.891227,151033
2017-12-04,0.888918,0.960290,0.855484,0.880303,0.880303,88777
2017-12-05,0.881975,1.040760,0.870566,0.971953,0.971953,143719
2017-12-06,0.970210,2.721950,0.970210,2.572040,2.572040,3200180
2017-12-07,2.450260,2.800300,1.108590,1.252720,1.252720,3207200
2017-12-08,1.217980,1.771430,1.097530,1.193210,1.193210,530581
2017-12-09,1.184420,1.187080,0.959786,1.066990,1.066990,133450
2017-12-10,1.082360,1.115790,0.925716,1.039270,1.039270,83104
2017-12-11,1.039230,1.449260,1.027370,1.298470,1.298470,254122
2017-12-12,1.337590,2.006240,1.167000,1.466760,1.466760,1027560
2017-12-13,1.460440,1.535870,1.236410,1.326160,1.326160,160930
2017-12-14,1.322460,1.614910,1.313720,1.369080,1.369080,342232
2017-12-15,1.370100,1.393930,1.247240,1.311530,1.311530,135397
2017-12-16,1.313180,1.482210,1.276900,1.470980,1.470980,150584
2017-12-17,1.436900,1.863490,1.428640,1.498390,1.498390,386657
2017-12-18,1.502610,1.694000,1.449160,1.679930,1.679930,184993
2017-12-19,1.677980,1.974580,1.481380,1.510140,1.510140,419551
2017-12-20,1.508810,1.768040,1.261490,1.722420,1.722420,373336
2017-12-21,1.726740,1.792450,1.443190,1.584310,1.584310,277247
2017-12-22,1.595420,1.632800,1.029640,1.240310,1.240310,275449
2017-12-23,1.256470,1.483680,1.243290,1.332900,1.332900,205924
2017-12-24,1.345990,1.366180,1.177920,1.359470,1.359470,167878
2017-12-25,1.373550,1.511990,1.288850,1.413200,1.413200,227080
2017-12-26,1.411880,1.551470,1.408000,1.507780,1.507780,221437
2017-12-27,1.510770,1.593870,1.402810,1.518010,1.518010,139823
2017-12-28,1.488130,1.514000,1.313900,1.439420,1.439420,229276
2017-12-29,1.454300,1.545950,1.399170,1.413360,1.413360,351257
2017-12-30,1.409810,2.383910,1.201360,1.997890,1.997890,2356110
2017-12-31,2.156180,2.646910,1.504350,1.692780,1.692780,5067370
2018-01-01,1.699320,2.009040,1.653360,1.748470,1.748470,1717790
2018-01-02,1.764470,2.059500,1.649910,1.821630,1.821630,1210790
2018-01-03,1.812960,2.132290,1.736250,2.132290,2.132290,908198
2018-01-04,2.136820,2.162030,1.814220,1.879160,1.879160,530930
2018-01-05,1.895470,2.028110,1.671790,1.862710,1.862710,553830
2018-01-06,1.937760,2.052380,1.568920,1.918220,1.918220,827090
2018-01-07,1.899270,2.228970,1.838450,2.031900,2.031900,706279
2018-01-08,2.029960,2.111590,1.803520,1.909750,1.909750,444928
2018-01-09,1.925240,2.168090,1.815690,1.925600,1.925600,572448
2018-01-10,1.958620,2.054080,1.758930,1.988890,1.988890,497173
2018-01-11,1.986670,1.986670,1.665060,1.731470,1.731470,146914
2018-01-12,1.742390,2.021800,1.690790,1.887470,1.887470,262843
2018-01-13,1.885530,2.021300,1.879800,1.939310,1.939310,125536
