Date,Open,High,Low,Close,Adj Close,Volume
2019-11-19,0.009089,0.009205,0.007500,0.007917,0.007917,11810928
2019-11-20,0.007917,0.009015,0.007761,0.008954,0.008954,11387674
2019-11-21,0.008964,0.009896,0.008353,0.009110,0.009110,14925012
2019-11-22,0.009110,0.009454,0.008372,0.008484,0.008484,12309580
2019-11-23,0.008477,0.008974,0.007949,0.008482,0.008482,10042321
2019-11-24,0.008485,0.008664,0.008124,0.008338,0.008338,8005225
2019-11-25,0.008314,0.009040,0.007657,0.008415,0.008415,10243548
2019-11-26,0.008431,0.008678,0.007844,0.008110,0.008110,7897854
2019-11-27,0.008137,0.008645,0.007864,0.008526,0.008526,6652658
2019-11-28,0.008475,0.008553,0.008052,0.008086,0.008086,4578899
2019-11-29,0.008092,0.008484,0.008044,0.008352,0.008352,4911558
2019-11-30,0.008352,0.008546,0.007916,0.008045,0.008045,5349058
2019-12-01,0.008056,0.008216,0.007847,0.008087,0.008087,4422266
2019-12-02,0.008097,0.008253,0.007718,0.008044,0.008044,4553200
2019-12-03,0.008044,0.008100,0.007757,0.007900,0.007900,5033743
2019-12-04,0.007904,0.008015,0.007524,0.007804,0.007804,5963610
2019-12-05,0.007824,0.008103,0.007350,0.007883,0.007883,6429717
2019-12-06,0.007889,0.008030,0.007623,0.007989,0.007989,4334734
2019-12-07,0.007992,0.008085,0.007763,0.008021,0.008021,3385124
2019-12-08,0.008021,0.008466,0.007772,0.008368,0.008368,4713868
2019-12-09,0.008368,0.009002,0.008026,0.008598,0.008598,7126409
2019-12-10,0.008586,0.008594,0.007857,0.007897,0.007897,4729700
2019-12-11,0.007900,0.008302,0.007805,0.007850,0.007850,3351129
2019-12-12,0.007852,0.007949,0.007719,0.007768,0.007768,2832918
2019-12-13,0.007770,0.008015,0.007754,0.007836,0.007836,2779212
2019-12-14,0.007843,0.008532,0.007833,0.008219,0.008219,4786296
2019-12-15,0.008219,0.008471,0.007721,0.008331,0.008331,3867600
2019-12-16,0.008331,0.008539,0.008022,0.008040,0.008040,4593670
2019-12-17,0.008040,0.008261,0.007691,0.007779,0.007779,5509399
2019-12-18,0.007779,0.008201,0.007695,0.008191,0.008191,5666330
2019-12-19,0.008192,0.009159,0.007959,0.008371,0.008371,7265078
2019-12-20,0.008371,0.008906,0.008212,0.008463,0.008463,6424284
2019-12-21,0.008463,0.008542,0.008167,0.008209,0.008209,4737250
2019-12-22,0.008213,0.008289,0.007938,0.008262,0.008262,5452159
2019-12-23,0.008265,0.008386,0.007995,0.008035,0.008035,4748965
2019-12-24,0.008041,0.008350,0.007990,0.008157,0.008157,3989153
2019-12-25,0.008157,0.008184,0.007905,0.007960,0.007960,4299392
2019-12-26,0.007960,0.008037,0.007801,0.007919,0.007919,4422055
2019-12-27,0.007931,0.008005,0.007762,0.007837,0.007837,4436228
2019-12-28,0.007837,0.007859,0.007596,0.007644,0.007644,4102478
2019-12-29,0.007645,0.007877,0.007637,0.007730,0.007730,3824876
2019-12-30,0.007727,0.007753,0.007519,0.007549,0.007549,3502375
2019-12-31,0.007556,0.007588,0.006885,0.006909,0.006909,4396911
2020-01-01,0.006893,0.007369,0.006531,0.006873,0.006873,3809758
2020-01-02,0.006878,0.006934,0.006253,0.006406,0.006406,3159431
2020-01-03,0.006468,0.006735,0.006255,0.006578,0.006578,3819752
2020-01-04,0.006574,0.006624,0.006355,0.006535,0.006535,3224686
2020-01-05,0.006544,0.006694,0.006427,0.006499,0.006499,3849498
2020-01-06,0.006484,0.006541,0.006348,0.006485,0.006485,3951176
2020-01-07,0.006485,0.006742,0.006438,0.006613,0.006613,4190896
2020-01-08,0.006613,0.007200,0.006609,0.006904,0.006904,5635750
2020-01-09,0.006906,0.007008,0.006553,0.006759,0.006759,4244846
2020-01-10,0.006740,0.006794,0.006461,0.006696,0.006696,4313887
2020-01-11,0.006694,0.006735,0.006420,0.006491,0.006491,3406305
2020-01-12,0.006497,0.006531,0.006351,0.006477,0.006477,3287530
2020-01-13,0.006482,0.006503,0.005994,0.006117,0.006117,4249120
2020-01-14,0.006119,0.007024,0.005993,0.006928,0.006928,7857230
2020-01-15,0.006899,0.006953,0.006404,0.006428,0.006428,5355222
2020-01-16,0.006412,0.006453,0.005942,0.006274,0.006274,4218843
2020-01-17,0.006271,0.006566,0.006067,0.006170,0.006170,4756601
2020-01-18,0.006169,0.006197,0.006007,0.006066,0.006066,3488433
2020-01-19,0.006058,0.006090,0.004935,0.005068,0.005068,7475330
2020-01-20,0.005068,0.005176,0.004892,0.005077,0.005077,3595547
2020-01-21,0.005086,0.005979,0.005021,0.005544,0.005544,5869435
2020-01-22,0.005508,0.006827,0.005238,0.006463,0.006463,6489829
2020-01-23,0.006398,0.006851,0.005989,0.006594,0.006594,7586199
2020-01-24,0.006594,0.007847,0.006248,0.006982,0.006982,8849992
2020-01-25,0.006983,0.006996,0.006163,0.006422,0.006422,4749042
2020-01-26,0.006408,0.006488,0.005977,0.006368,0.006368,3982506
2020-01-27,0.006369,0.006395,0.006038,0.006114,0.006114,4775972
2020-01-28,0.006107,0.006773,0.006010,0.006773,0.006773,5328717
2020-01-29,0.006771,0.006823,0.006475,0.006511,0.006511,5215510
2020-01-30,0.006519,0.006562,0.006202,0.006505,0.006505,4338536
2020-01-31,0.006509,0.006733,0.006241,0.006323,0.006323,5008848
2020-02-01,0.006313,0.006518,0.006292,0.006428,0.006428,3797319
2020-02-02,0.006421,0.006527,0.006195,0.006448,0.006448,4317854
2020-02-03,0.006448,0.006515,0.006304,0.006353,0.006353,4566733
2020-02-04,0.006354,0.006453,0.006088,0.006211,0.006211,3825154
2020-02-05,0.006259,0.006525,0.006176,0.006450,0.006450,5191520
2020-02-06,0.006450,0.006550,0.006309,0.006489,0.006489,5404807
2020-02-07,0.006474,0.007289,0.006415,0.007046,0.007046,7846413
2020-02-08,0.007048,0.007228,0.006790,0.006959,0.006959,7589742
2020-02-09,0.006970,0.007010,0.006535,0.006868,0.006868,7577267
2020-02-10,0.006857,0.006942,0.006465,0.006884,0.006884,7909500
2020-02-11,0.006878,0.008618,0.006528,0.008035,0.008035,12933708
2020-02-12,0.008039,0.008650,0.007821,0.008245,0.008245,12532269
2020-02-13,0.008245,0.008262,0.007494,0.007738,0.007738,9948191
2020-02-14,0.007738,0.008317,0.007702,0.008153,0.008153,8964914
2020-02-15,0.008153,0.008296,0.007502,0.007511,0.007511,8898061
2020-02-16,0.007506,0.007997,0.006792,0.007236,0.007236,8673809
2020-02-17,0.007241,0.007250,0.006509,0.006906,0.006906,6655078
2020-02-18,0.006898,0.007256,0.006638,0.007171,0.007171,6904505
2020-02-19,0.007176,0.007653,0.006924,0.006935,0.006935,6850436
2020-02-20,0.006944,0.007099,0.006777,0.006866,0.006866,6626853
2020-02-21,0.006870,0.007813,0.006863,0.007394,0.007394,7448247
2020-02-22,0.007388,0.007555,0.007073,0.007503,0.007503,6610055
2020-02-23,0.007503,0.007556,0.007376,0.007492,0.007492,7531622
2020-02-24,0.007491,0.007546,0.006836,0.006936,0.006936,7114405
2020-02-25,0.006933,0.006949,0.006445,0.006552,0.006552,8127549
2020-02-26,0.006561,0.006567,0.005303,0.005557,0.005557,9729380
2020-02-27,0.005563,0.006133,0.005325,0.005980,0.005980,7797053
2020-02-28,0.005982,0.006050,0.005543,0.005901,0.005901,6530927
2020-02-29,0.005884,0.006861,0.005871,0.006503,0.006503,8197572
2020-03-01,0.006504,0.006506,0.005922,0.006027,0.006027,6394762
2020-03-02,0.006061,0.006833,0.006061,0.006813,0.006813,8729856
2020-03-03,0.006808,0.007523,0.006796,0.007504,0.007504,9449254
2020-03-04,0.007490,0.007827,0.006933,0.007723,0.007723,11628016
2020-03-05,0.007722,0.007996,0.007377,0.007378,0.007378,9396022
2020-03-06,0.007378,0.007613,0.007083,0.007599,0.007599,8638007
2020-03-07,0.007608,0.007620,0.006944,0.006992,0.006992,7152031
2020-03-08,0.006992,0.007005,0.005996,0.006325,0.006325,7867247
2020-03-09,0.006310,0.006429,0.005682,0.006167,0.006167,9161206
2020-03-10,0.006175,0.006543,0.006066,0.006249,0.006249,6335432
2020-03-11,0.006249,0.006446,0.005935,0.006294,0.006294,6339938
2020-03-12,0.006338,0.006355,0.003003,0.003037,0.003037,11741695
