Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,1.121600,1.326070,1.047330,1.264560,1.264560,466593
2014-09-18,1.262930,1.366290,1.134750,1.229760,1.229760,486429
2014-09-19,1.222170,1.222170,1.046960,1.104190,1.104190,179233
2014-09-20,1.102100,1.198230,1.088420,1.194410,1.194410,128440
2014-09-21,1.208010,1.220110,1.105670,1.110980,1.110980,92990
2014-09-22,1.116070,1.155470,1.085400,1.086520,1.086520,54436
2014-09-23,1.086370,1.204670,1.055220,1.167810,1.167810,223723
2014-09-24,1.165540,1.171920,1.101090,1.116040,1.116040,87227
2014-09-25,1.115270,1.119500,1.001070,1.075690,1.075690,137592
2014-09-26,1.074520,1.202070,1.072270,1.182010,1.182010,168996
2014-09-27,1.182810,1.215270,1.133290,1.210480,1.210480,76791
2014-09-28,1.204830,1.212970,1.073720,1.089790,1.089790,63480
2014-09-29,1.091780,1.121220,1.071100,1.084790,1.084790,40668
2014-09-30,1.084480,1.109100,1.058250,1.095370,1.095370,59063
2014-10-01,1.095010,1.098360,1.046760,1.058210,1.058210,48607
2014-10-02,1.057000,1.063000,1.022590,1.025510,1.025510,33079
2014-10-03,1.025490,1.032820,0.948944,0.958301,0.958301,48215
2014-10-04,0.956588,0.961287,0.872839,0.876363,0.876363,60846
2014-10-05,0.881886,0.920425,0.793111,0.876550,0.876550,77450
2014-10-06,0.875021,1.017740,0.836042,0.972713,0.972713,120153
2014-10-07,0.977316,1.038440,0.916685,0.966888,0.966888,188182
2014-10-08,0.966068,1.037660,0.940790,0.999656,0.999656,80632
2014-10-09,1.099240,1.145730,1.028770,1.065770,1.065770,202314
2014-10-10,1.066740,1.102720,1.027310,1.037520,1.037520,35710
2014-10-11,1.040300,1.072540,1.025400,1.035960,1.035960,26599
2014-10-12,1.033880,1.077400,1.012400,1.077400,1.077400,40033
2014-10-13,1.069700,1.096460,1.020710,1.072440,1.072440,123439
2014-10-14,1.073230,1.130120,1.069770,1.090360,1.090360,91382
2014-10-15,1.089920,1.096120,1.041920,1.053210,1.053210,71908
2014-10-16,1.052450,1.071030,0.988623,1.022780,1.022780,84979
2014-10-17,1.021930,1.040640,1.004320,1.031200,1.031200,60161
2014-10-18,1.031090,1.064910,1.023780,1.045830,1.045830,40940
2014-10-19,1.048720,1.055130,1.034150,1.049580,1.049580,76370
2014-10-20,1.046980,1.053430,1.020000,1.022890,1.022890,58491
2014-10-21,1.025320,1.025320,0.993210,1.016430,1.016430,62146
2014-10-22,1.013550,1.021510,0.959476,0.961251,0.961251,57425
2014-10-23,0.960952,0.966503,0.927097,0.933416,0.933416,55353
2014-10-24,0.935570,0.948943,0.920334,0.935287,0.935287,39310
2014-10-25,0.931876,0.936355,0.877750,0.903220,0.903220,62894
2014-10-26,0.904414,0.936554,0.895787,0.915690,0.915690,21431
2014-10-27,0.915737,0.942294,0.903143,0.930256,0.930256,19872
2014-10-28,0.926586,0.942561,0.910405,0.932894,0.932894,31166
2014-10-29,0.933398,0.934955,0.869980,0.884246,0.884246,26615
2014-10-30,0.887821,0.915345,0.868325,0.904605,0.904605,32523
2014-10-31,0.905371,0.923298,0.892805,0.896075,0.896075,16492
2014-11-01,0.895453,0.903653,0.846445,0.849888,0.849888,11466
2014-11-02,0.849533,0.866754,0.833703,0.864687,0.864687,25753
2014-11-03,0.857346,0.892851,0.851728,0.856193,0.856193,25776
2014-11-04,0.854922,0.861651,0.842843,0.857666,0.857666,14700
2014-11-05,0.857472,0.890029,0.857472,0.880758,0.880758,17295
2014-11-06,0.880470,0.905350,0.873936,0.896733,0.896733,21835
