Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,1.082460,1.888190,1.028090,1.540270,1.540270,1547560
2014-09-18,1.474660,1.998130,1.474660,1.685280,1.685280,3559080
2014-09-19,1.678340,1.678340,1.149280,1.216330,1.216330,1124210
2014-09-20,1.184000,1.754200,1.100360,1.641050,1.641050,1751120
2014-09-21,1.636620,1.722380,1.410270,1.488790,1.488790,1044110
2014-09-22,1.482530,1.592850,1.433510,1.490080,1.490080,547853
2014-09-23,1.492470,1.562880,0.991790,1.166050,1.166050,2194760
2014-09-24,1.166810,1.274060,1.130750,1.195160,1.195160,479290
2014-09-25,1.191390,1.191390,1.023120,1.152770,1.152770,538399
2014-09-26,1.142860,1.163080,1.061270,1.079990,1.079990,205314
2014-09-27,1.080590,1.082230,1.044090,1.069970,1.069970,122803
2014-09-28,1.069870,1.083460,0.939832,0.965437,0.965437,201702
2014-09-29,0.956745,1.001650,0.948444,0.966338,0.966338,126961
2014-09-30,0.965249,1.007300,0.957328,0.998371,0.998371,68525
2014-10-01,0.998178,0.999133,0.950835,0.958097,0.958097,65129
2014-10-02,0.957549,0.968722,0.882001,0.886952,0.886952,133591
2014-10-03,0.882940,0.887468,0.815581,0.824693,0.824693,180662
2014-10-04,0.821619,0.868697,0.772283,0.804042,0.804042,199270
2014-10-05,0.802538,0.848399,0.719894,0.816533,0.816533,240513
2014-10-06,0.822616,1.133300,0.790779,1.077620,1.077620,1194960
2014-10-07,1.054670,1.167980,0.884140,1.055670,1.055670,1205480
2014-10-08,1.056410,1.068890,1.006430,1.045910,1.045910,361477
2014-10-09,1.056080,1.195750,1.024720,1.130590,1.130590,503590
2014-10-10,1.125350,1.160320,1.025930,1.039380,1.039380,214465
2014-10-11,1.042190,1.082020,0.991229,1.036530,1.036530,149329
2014-10-12,1.035730,1.069360,1.002170,1.065150,1.065150,119312
2014-10-13,1.066060,1.097300,1.028420,1.081510,1.081510,107187
2014-10-14,1.081700,1.126720,1.065170,1.098090,1.098090,233476
2014-10-15,1.097640,1.103610,1.043470,1.058700,1.058700,116239
2014-10-16,1.066950,1.070170,0.993761,1.032790,1.032790,101612
2014-10-17,1.032600,1.033480,1.005450,1.015700,1.015700,96133
2014-10-18,1.015630,1.043370,1.008910,1.023330,1.023330,58173
2014-10-19,1.023250,1.036180,1.003990,1.025240,1.025240,155871
2014-10-20,1.022760,1.022760,0.972190,0.972190,0.972190,75639
2014-10-21,0.972389,1.003760,0.971395,0.993274,0.993274,59239
2014-10-22,0.993690,0.993690,0.934387,0.939908,0.939908,69561
2014-10-23,0.939333,0.939333,0.841368,0.848546,0.848546,235838
2014-10-24,0.852276,0.883541,0.833629,0.864344,0.864344,65055
2014-10-25,0.862985,0.869610,0.827551,0.858411,0.858411,57070
2014-10-26,0.858949,0.883411,0.850665,0.869808,0.869808,42349
2014-10-27,0.869799,0.889386,0.854722,0.865142,0.865142,65015
2014-10-28,0.865134,0.882612,0.861361,0.874957,0.874957,35496
2014-10-29,0.873191,0.876521,0.811887,0.812206,0.812206,102068
2014-10-30,0.811967,0.841680,0.796846,0.834673,0.834673,97579
2014-10-31,0.835173,0.835396,0.805502,0.814681,0.814681,36260
2014-11-01,0.814446,0.816409,0.754305,0.759485,0.759485,94329
2014-11-02,0.764446,0.776287,0.739704,0.751090,0.751090,68224
2014-11-03,0.750819,0.780847,0.732563,0.745530,0.745530,170005
