Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,4.623110,5.234460,4.623110,4.836770,4.836770,25576900
2017-11-10,4.782760,4.841480,3.771110,4.190090,4.190090,18133700
2017-11-11,4.113730,4.678640,3.887550,4.322570,4.322570,12435700
2017-11-12,4.326750,4.326750,3.361970,3.752400,3.752400,12602700
2017-11-13,3.787010,4.674270,3.787010,4.452750,4.452750,21777600
2017-11-14,4.461950,4.573720,4.211030,4.314940,4.314940,6620560
2017-11-15,4.355270,4.666660,4.065280,4.415860,4.415860,10365300
2017-11-16,4.400360,4.465180,4.083890,4.161600,4.161600,9180750
2017-11-17,4.220410,4.353410,4.034770,4.145180,4.145180,6275620
2017-11-18,4.168550,4.737970,4.001170,4.318690,4.318690,8982810
2017-11-19,4.301870,4.550320,4.066830,4.224620,4.224620,6758010
2017-11-20,4.230910,4.266000,3.968770,4.040600,4.040600,6888960
2017-11-21,4.017810,4.183290,3.807660,3.954220,3.954220,6541270
2017-11-22,3.975510,4.272280,3.941120,4.099720,4.099720,7211950
2017-11-23,4.112320,4.197050,3.948810,4.091060,4.091060,5146550
2017-11-24,4.063230,4.081460,3.914040,3.977500,3.977500,5140870
2017-11-25,3.992800,5.026920,3.992760,4.692690,4.692690,13242900
2017-11-26,4.933740,6.240620,4.643500,5.471160,5.471160,49734500
2017-11-27,5.444380,5.706070,5.176080,5.368620,5.368620,10687800
2017-11-28,5.410950,5.497070,5.085880,5.094960,5.094960,8342690
2017-11-29,5.144600,5.848500,4.554770,4.927620,4.927620,11544500
2017-11-30,5.003330,5.772620,4.772010,5.342480,5.342480,9926690
2017-12-01,5.365270,6.687480,5.233190,6.429560,6.429560,21568900
2017-12-02,6.473490,7.914710,6.291370,7.770240,7.770240,28497100
2017-12-03,7.808690,8.742790,7.296290,7.696490,7.696490,42038700
2017-12-04,7.660810,8.502210,7.490930,8.349370,8.349370,19468900
2017-12-05,8.372290,9.903140,8.282740,9.465620,9.465620,43487500
2017-12-06,9.461690,10.532900,7.926300,8.164340,8.164340,46987900
2017-12-07,8.174000,9.664050,7.226780,7.226780,7.226780,45938000
2017-12-08,7.089210,8.998620,6.626630,8.059630,8.059630,38632900
2017-12-09,8.103550,9.389270,7.504790,8.431330,8.431330,23703400
2017-12-10,8.393760,8.393760,6.656860,7.767770,7.767770,18116600
2017-12-11,7.724070,9.632850,7.650530,8.440930,8.440930,29459200
2017-12-12,8.545540,8.666710,7.952580,8.567480,8.567480,25507500
2017-12-13,8.569560,8.679910,7.787100,8.099760,8.099760,17463400
2017-12-14,8.127700,8.348800,7.581370,8.151680,8.151680,19698600
2017-12-15,8.116080,8.126180,7.090340,7.702880,7.702880,15342300
2017-12-16,7.729110,8.660640,7.713610,7.945380,7.945380,18041600
2017-12-17,8.514150,8.912350,8.026030,8.363030,8.363030,22641500
2017-12-18,8.388090,9.819490,8.119810,9.521380,9.521380,36765800
2017-12-19,9.441280,9.958080,8.440460,8.985190,8.985190,27619400
2017-12-20,8.990020,9.096020,7.607480,8.556340,8.556340,22325800
2017-12-21,8.563540,10.062400,8.254220,9.222800,9.222800,34982200
2017-12-22,9.359190,9.672470,5.176780,6.714610,6.714610,22794200
2017-12-23,6.856730,8.661740,6.800160,7.954060,7.954060,20014500
2017-12-24,8.056330,8.091630,6.671960,7.640210,7.640210,14587000
2017-12-25,7.635710,8.003890,7.045340,7.527380,7.527380,16261900
2017-12-26,7.534530,7.900740,7.200050,7.609860,7.609860,16282700
2017-12-27,7.593940,7.691480,7.021870,7.388670,7.388670,14496800
2017-12-28,7.426410,7.426410,6.409250,6.987750,6.987750,10034500
2017-12-29,7.041300,7.489950,6.685190,7.173910,7.173910,14598000
2017-12-30,7.176230,7.176230,5.831810,6.375790,6.375790,9411130
2017-12-31,6.264900,6.813800,6.124090,6.677440,6.677440,7702740
2018-01-01,6.731610,6.858890,6.297420,6.824600,6.824600,10816800
2018-01-02,6.896130,7.809400,6.825870,7.428940,7.428940,28652100
2018-01-03,7.415850,7.442230,6.838270,7.178120,7.178120,14827600
2018-01-04,7.245390,7.245390,6.592180,6.900240,6.900240,19509300
2018-01-05,6.894270,7.454260,6.506920,6.601800,6.601800,18006300
2018-01-06,6.660700,7.234200,6.247910,7.089350,7.089350,12220200
2018-01-07,7.007530,7.563620,6.790300,7.019990,7.019990,11297800
2018-01-08,7.122010,7.505790,6.061550,7.006570,7.006570,16228700
2018-01-09,6.913640,7.240130,6.393860,6.393860,6.393860,8552900
2018-01-10,6.391880,6.812270,5.560690,6.585830,6.585830,12440400
2018-01-11,6.556770,6.588070,5.274600,5.628690,5.628690,8280290
2018-01-12,5.616970,6.173040,5.407690,6.008580,6.008580,5269260
2018-01-13,6.156590,6.632110,6.036090,6.500570,6.500570,9265200
2018-01-14,6.503340,6.503340,5.655320,5.935610,5.935610,3621370
2018-01-15,5.864600,6.023570,5.583530,5.614830,5.614830,8736270
2018-01-16,5.581920,5.581920,3.242320,4.082060,4.082060,9269690
2018-01-17,4.018620,4.253570,2.995640,4.135560,4.135560,5747490
2018-01-18,4.118960,4.788580,3.948680,4.314660,4.314660,5174910
2018-01-19,4.323360,4.898810,4.199820,4.647210,4.647210,8125680
2018-01-20,4.706630,5.806030,4.706630,5.607370,5.607370,17899700
2018-01-21,5.569780,5.782910,4.582790,4.728090,4.728090,6197940
2018-01-22,4.751470,4.906530,3.897720,4.191520,4.191520,3584790
2018-01-23,4.218820,4.705230,3.955210,4.475010,4.475010,8081750
2018-01-24,4.471020,4.663430,4.211190,4.523110,4.523110,6059220
2018-01-25,4.674880,4.865960,4.568200,4.611450,4.611450,6316280
