Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,0.160196,0.160196,0.141516,0.141829,0.141829,82541
2017-11-10,0.142251,0.153052,0.131638,0.135370,0.135370,94181
2017-11-11,0.134649,0.141957,0.120699,0.132312,0.132312,20102
2017-11-12,0.134478,0.134478,0.108383,0.114648,0.114648,22948
2017-11-13,0.114760,0.178028,0.114760,0.164880,0.164880,172884
2017-11-14,0.167175,0.178579,0.142781,0.157319,0.157319,597481
2017-11-15,0.146721,0.170886,0.142398,0.146138,0.146138,641984
2017-11-16,0.146681,0.163543,0.087888,0.155376,0.155376,701952
2017-11-17,0.152734,0.158477,0.135509,0.145972,0.145972,650100
2017-11-18,0.148027,0.156558,0.136179,0.155972,0.155972,698777
2017-11-19,0.155534,0.159959,0.152197,0.158717,0.158717,441518
2017-11-20,0.158643,0.159013,0.149994,0.156737,0.156737,588288
2017-11-21,0.157089,0.166820,0.148191,0.161994,0.161994,718690
2017-11-22,0.157930,0.164102,0.155572,0.158895,0.158895,702293
2017-11-23,0.158846,0.164367,0.156512,0.160992,0.160992,384558
2017-11-24,0.160911,0.209836,0.158152,0.171153,0.171153,253265
2017-11-25,0.171026,0.186414,0.170678,0.177205,0.177205,44037
2017-11-26,0.176645,0.200386,0.176350,0.196590,0.196590,56915
2017-11-27,0.196631,0.283860,0.194664,0.253918,0.253918,247297
2017-11-28,0.253836,0.261660,0.238060,0.241439,0.241439,154424
2017-11-29,0.241506,0.260259,0.199051,0.228138,0.228138,89895
2017-11-30,0.231642,0.275238,0.209152,0.220464,0.220464,189723
2017-12-01,0.218536,0.243907,0.214559,0.238593,0.238593,63337
2017-12-02,0.237772,0.253611,0.228870,0.251455,0.251455,58932
2017-12-03,0.253460,0.278160,0.237639,0.253184,0.253184,77763
2017-12-04,0.253840,0.274245,0.251290,0.273732,0.273732,82787
2017-12-05,0.272012,0.278998,0.259006,0.266205,0.266205,107778
2017-12-06,0.266319,0.329120,0.253686,0.293420,0.293420,325499
2017-12-07,0.293179,0.310952,0.260796,0.299125,0.299125,253265
2017-12-08,0.298990,0.299181,0.238268,0.275941,0.275941,156888
2017-12-09,0.272358,0.288076,0.237198,0.268131,0.268131,88451
2017-12-10,0.268880,0.289038,0.231504,0.266076,0.266076,126700
2017-12-11,0.264708,0.325256,0.263310,0.293191,0.293191,127262
2017-12-12,0.292599,0.373013,0.284328,0.366526,0.366526,268391
2017-12-13,0.366364,0.368338,0.325751,0.339032,0.339032,150495
2017-12-14,0.339385,0.363361,0.330458,0.336537,0.336537,164378
2017-12-15,0.338154,0.350919,0.324161,0.339027,0.339027,130931
2017-12-16,0.339615,0.430972,0.331855,0.428824,0.428824,850412
2017-12-17,0.419099,0.453610,0.409156,0.411655,0.411655,436851
2017-12-18,0.412653,0.444827,0.392883,0.437048,0.437048,347743
2017-12-19,0.435559,0.477527,0.396422,0.402368,0.402368,472040
2017-12-20,0.398461,0.580682,0.360967,0.545979,0.545979,773565
2017-12-21,0.546738,0.556403,0.443395,0.469301,0.469301,427395
2017-12-22,0.471369,0.481860,0.288100,0.384404,0.384404,363684
2017-12-23,0.396946,0.509609,0.382406,0.482674,0.482674,319922
2017-12-24,0.487839,0.496188,0.379476,0.496188,0.496188,461965
2017-12-25,0.498798,0.958317,0.497002,0.779401,0.779401,4808190
2017-12-26,0.775862,0.833017,0.656914,0.760733,0.760733,1218960
2017-12-27,0.763622,0.860946,0.685723,0.703314,0.703314,588548
2017-12-28,0.693278,0.733791,0.619758,0.705689,0.705689,491396
2017-12-29,0.725363,0.940942,0.725363,0.936782,0.936782,1104480
2017-12-30,0.934859,0.934859,0.708719,0.743863,0.743863,564001
2017-12-31,0.730918,0.826888,0.671298,0.807771,0.807771,346658
2018-01-01,0.810891,0.865598,0.760912,0.800123,0.800123,266285
2018-01-02,0.800057,0.879245,0.788477,0.833014,0.833014,717822
2018-01-03,0.830062,0.916477,0.800842,0.864413,0.864413,280246
2018-01-04,0.864383,0.870187,0.734061,0.767739,0.767739,598040
2018-01-05,0.767918,0.812062,0.731252,0.790750,0.790750,442039
