Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,0.007911,0.007963,0.007360,0.007463,0.007463,4518290
2017-11-10,0.007485,0.007717,0.006004,0.006466,0.006466,3987030
2017-11-11,0.006444,0.006801,0.006068,0.006238,0.006238,2749640
2017-11-12,0.006228,0.006228,0.004982,0.005454,0.005454,4172140
2017-11-13,0.005402,0.006404,0.005402,0.006124,0.006124,2525080
2017-11-14,0.006143,0.006292,0.005930,0.006213,0.006213,2045030
2017-11-15,0.006215,0.006726,0.006160,0.006539,0.006539,3029220
2017-11-16,0.006638,0.006644,0.006297,0.006370,0.006370,2973370
2017-11-17,0.006360,0.006633,0.005983,0.006100,0.006100,2212420
2017-11-18,0.006083,0.006383,0.005904,0.006091,0.006091,1926720
2017-11-19,0.006083,0.006616,0.005948,0.006125,0.006125,3189610
2017-11-20,0.006120,0.006253,0.005693,0.005693,0.005693,3703680
2017-11-21,0.005764,0.006086,0.005460,0.006059,0.006059,2561260
2017-11-22,0.006000,0.006080,0.005494,0.005755,0.005755,3124250
2017-11-23,0.005754,0.005770,0.005043,0.005385,0.005385,4320440
2017-11-24,0.005378,0.005459,0.005093,0.005430,0.005430,1937470
2017-11-25,0.005347,0.005656,0.005321,0.005604,0.005604,1972920
2017-11-26,0.005764,0.006859,0.005605,0.006802,0.006802,3279390
2017-11-27,0.006899,0.007084,0.006479,0.006534,0.006534,5292330
2017-11-28,0.006620,0.006710,0.006257,0.006330,0.006330,3405020
2017-11-29,0.006324,0.006513,0.005035,0.005435,0.005435,3923970
2017-11-30,0.005435,0.006072,0.004783,0.005612,0.005612,2238420
2017-12-01,0.005513,0.006246,0.005363,0.006196,0.006196,1803340
2017-12-02,0.006202,0.006391,0.005749,0.006140,0.006140,2385550
2017-12-03,0.006136,0.007735,0.005979,0.006723,0.006723,5592120
2017-12-04,0.006855,0.008185,0.006656,0.007803,0.007803,7735120
2017-12-05,0.007919,0.008584,0.007314,0.007733,0.007733,6136980
2017-12-06,0.007618,0.008063,0.007106,0.007999,0.007999,6034820
2017-12-07,0.007868,0.008847,0.007628,0.008828,0.008828,7877410
2017-12-08,0.008677,0.009150,0.007607,0.008793,0.008793,5311020
2017-12-09,0.008916,0.009633,0.008002,0.008588,0.008588,3849740
2017-12-10,0.008712,0.008712,0.007423,0.008294,0.008294,3091980
2017-12-11,0.008212,0.009273,0.008168,0.008766,0.008766,4143160
2017-12-12,0.008905,0.009516,0.008588,0.009330,0.009330,5287600
2017-12-13,0.009203,0.016603,0.008960,0.014829,0.014829,36652000
2017-12-14,0.014517,0.020732,0.013085,0.019107,0.019107,85882096
2017-12-15,0.019239,0.020249,0.014960,0.018863,0.018863,46278500
2017-12-16,0.018721,0.046954,0.018721,0.040697,0.040697,254115008
2017-12-17,0.041717,0.090036,0.041717,0.052139,0.052139,591388992
2017-12-18,0.052265,0.060436,0.048062,0.059563,0.059563,157484992
2017-12-19,0.059601,0.079966,0.058949,0.078310,0.078310,200742000
2017-12-20,0.078770,0.163700,0.063310,0.143051,0.143051,981665024
2017-12-21,0.144295,0.161849,0.105101,0.128320,0.128320,374103008
2017-12-22,0.128681,0.139920,0.069166,0.124868,0.124868,295942016
2017-12-23,0.125615,0.300588,0.122988,0.214400,0.214400,972486976
2017-12-24,0.224923,0.279563,0.215083,0.255441,0.255441,478059008
2017-12-25,0.258386,0.258386,0.133723,0.162262,0.162262,457609984
2017-12-26,0.175387,0.206501,0.146588,0.200425,0.200425,745294016
2017-12-27,0.197493,0.210003,0.136031,0.138199,0.138199,393268992
2017-12-28,0.138123,0.166278,0.114907,0.165906,0.165906,580884992
2017-12-29,0.168030,0.173128,0.137990,0.160679,0.160679,328948992
2017-12-30,0.160416,0.160416,0.131505,0.142088,0.142088,236380992
2017-12-31,0.141174,0.238015,0.140810,0.222600,0.222600,920812992
2018-01-01,0.221716,0.223719,0.140798,0.156131,0.156131,816280000
2018-01-02,0.157163,0.165060,0.132691,0.144905,0.144905,451025984
2018-01-03,0.144876,0.162200,0.133645,0.145221,0.145221,354872992
2018-01-04,0.145384,0.197573,0.138022,0.159184,0.159184,677836032
2018-01-05,0.159472,0.199077,0.148423,0.181114,0.181114,544342016
2018-01-06,0.180864,0.186502,0.163956,0.174183,0.174183,290822016
2018-01-07,0.175244,0.194392,0.170287,0.181957,0.181957,252851008
2018-01-08,0.180600,0.208132,0.147099,0.178385,0.178385,430047008
2018-01-09,0.177253,0.240605,0.174258,0.196059,0.196059,787881024
2018-01-10,0.194296,0.194296,0.155677,0.168637,0.168637,264043008
2018-01-11,0.169438,0.172859,0.132569,0.144270,0.144270,187560000
2018-01-12,0.143948,0.170423,0.137836,0.158981,0.158981,144104000
2018-01-13,0.159047,0.164209,0.151071,0.156725,0.156725,111856000
2018-01-14,0.156392,0.156392,0.134020,0.138224,0.138224,77869600
2018-01-15,0.137658,0.146089,0.116516,0.116516,0.116516,132872000
2018-01-16,0.115621,0.121253,0.062195,0.085240,0.085240,176634000
