Date,Open,High,Low,Close,Adj Close,Volume
2005-12-01,1.657600,1.670600,1.644500,1.665900,1.665900,0
2005-12-02,1.665600,1.672700,1.653700,1.670200,1.670200,0
2005-12-05,1.671700,1.672500,1.648300,1.659300,1.659300,0
2005-12-06,1.658900,1.662600,1.641500,1.657700,1.657700,0
2005-12-07,1.658000,1.669700,1.652100,1.669200,1.669200,0
2005-12-08,1.667400,1.670300,1.644400,1.655500,1.655500,0
2005-12-09,1.655300,1.660500,1.639600,1.655700,1.655700,0
2005-12-12,1.658000,1.658000,1.629100,1.636100,1.636100,0
2005-12-13,1.636600,1.641500,1.624800,1.636400,1.636400,0
2005-12-14,1.637000,1.637000,1.610900,1.632200,1.632200,0
2005-12-15,1.631000,1.637700,1.611300,1.635100,1.635100,0
2005-12-16,1.635000,1.637200,1.615200,1.623100,1.623100,0
2005-12-19,1.620700,1.631800,1.611800,1.628200,1.628200,0
2005-12-20,1.628000,1.650400,1.618100,1.646800,1.646800,0
2005-12-21,1.647000,1.655900,1.637700,1.652400,1.652400,0
2005-12-22,1.653300,1.654100,1.637400,1.647100,1.647100,0
2005-12-23,1.646500,1.651300,1.632000,1.648500,1.648500,0
2005-12-26,1.648900,1.652200,1.632900,1.651500,1.651500,0
2005-12-27,1.652100,1.653300,1.634200,1.651800,1.651800,0
2005-12-28,1.650600,1.654300,1.624000,1.651100,1.651100,0
2005-12-29,1.651400,1.653500,1.634900,1.650500,1.650500,0
2005-12-30,1.650900,1.659100,1.635800,1.652200,1.652200,0
2006-01-02,1.651700,1.654900,1.635800,1.655300,1.655300,0
2006-01-03,1.653800,1.653800,1.625500,1.625700,1.625700,0
2006-01-04,1.624600,1.625000,1.603400,1.614800,1.614800,0
2006-01-05,1.614000,1.618600,1.601500,1.615600,1.615600,0
2006-01-06,1.615100,1.618100,1.589700,1.610500,1.610500,0
2006-01-09,1.611100,1.621700,1.603600,1.619800,1.619800,0
2006-01-10,1.619700,1.623700,1.602200,1.621000,1.621000,0
2006-01-11,1.621900,1.622800,1.602500,1.610900,1.610900,0
2006-01-12,1.611200,1.627700,1.594800,1.623200,1.623200,0
2006-01-13,1.624600,1.624700,1.605900,1.611700,1.611700,0
2006-01-16,1.607900,1.614800,1.595800,1.614000,1.614000,0
2006-01-17,1.614500,1.621900,1.604200,1.614600,1.614600,0
2006-01-18,1.616000,1.619100,1.596800,1.615200,1.615200,0
2006-01-19,1.616400,1.620900,1.602600,1.617200,1.617200,0
2006-01-20,1.617500,1.620600,1.602900,1.611600,1.611600,0
2006-01-23,1.606000,1.606500,1.577700,1.588400,1.588400,0
2006-01-24,1.590700,1.594300,1.577400,1.594400,1.594400,0
2006-01-25,1.594700,1.597700,1.573200,1.597100,1.597100,0
2006-01-26,1.596800,1.602200,1.580200,1.600800,1.600800,0
2006-01-27,1.600500,1.616900,1.590000,1.593400,1.593400,0
2006-01-30,1.616400,1.619400,1.601800,1.618400,1.618400,0
2006-01-31,1.618600,1.618600,1.596400,1.610100,1.610100,0
2006-02-01,1.609800,1.621800,1.599300,1.620600,1.620600,0
2006-02-02,1.620300,1.624000,1.609700,1.618500,1.618500,0
2006-02-03,1.618500,1.631600,1.604500,1.626000,1.626000,0
2006-02-06,1.624600,1.635400,1.616200,1.634800,1.634800,0
2006-02-07,1.634400,1.635400,1.616500,1.630800,1.630800,0
2006-02-08,1.630600,1.638700,1.617500,1.634600,1.634600,0
2006-02-09,1.634700,1.635800,1.622100,1.631200,1.631200,0
2006-02-10,1.631200,1.641300,1.616500,1.641000,1.641000,0
2006-02-13,1.636500,1.645500,1.628400,1.641200,1.641200,0
2006-02-14,1.642400,1.648000,1.626700,1.641200,1.641200,0
2006-02-15,1.641000,1.646600,1.625500,1.644900,1.644900,0
2006-02-16,1.645900,1.649400,1.631900,1.642700,1.642700,0
2006-02-17,1.643400,1.648100,1.630500,1.637600,1.637600,0
2006-02-20,1.636900,1.639000,1.621900,1.638800,1.638800,0
2006-02-21,1.638300,1.643500,1.625800,1.641300,1.641300,0
2006-02-22,1.640500,1.646600,1.629600,1.641500,1.641500,0
2006-02-23,1.641900,1.643700,1.618500,1.641000,1.641000,0
2006-02-24,1.640800,1.647400,1.626500,1.646700,1.646700,0
2006-02-27,1.652100,1.652100,1.629300,1.650300,1.650300,0
2006-02-28,1.651400,1.651400,1.629600,1.639300,1.639300,0
2006-03-01,1.638700,1.642700,1.630000,1.640600,1.640600,0
2006-03-02,1.640900,1.641300,1.621500,1.624700,1.624700,0
2006-03-03,1.625500,1.627900,1.610400,1.623700,1.623700,0
2006-03-06,1.618500,1.629700,1.608800,1.628000,1.628000,0
2006-03-07,1.626800,1.646500,1.626800,1.645500,1.645500,0
2006-03-08,1.644000,1.644300,1.624800,1.639900,1.639900,0
2006-03-09,1.639900,1.642800,1.622600,1.643200,1.643200,0
2006-03-10,1.643400,1.647400,1.623600,1.644800,1.644800,0
