Date,Open,High,Low,Close,Adj Close,Volume
2005-12-01,1.662900,1.675800,1.662900,1.669000,1.669000,0
2005-12-02,1.669100,1.674800,1.659700,1.662900,1.662900,0
2005-12-05,1.662800,1.666900,1.650000,1.654700,1.654700,0
2005-12-06,1.654400,1.663200,1.653600,1.657700,1.657700,0
2005-12-07,1.657900,1.670400,1.657900,1.660900,1.660900,0
2005-12-08,1.660700,1.662900,1.651300,1.655600,1.655600,0
2005-12-09,1.655600,1.662300,1.653100,1.656000,1.656000,0
2005-12-12,1.658900,1.658900,1.643200,1.646700,1.646700,0
2005-12-13,1.646800,1.652700,1.638600,1.642200,1.642200,0
2005-12-14,1.642200,1.650700,1.629100,1.650700,1.650700,0
2005-12-15,1.650200,1.651300,1.640400,1.647200,1.647200,0
2005-12-16,1.647100,1.651000,1.637900,1.640000,1.640000,0
2005-12-19,1.636800,1.643900,1.636700,1.640000,1.640000,0
2005-12-20,1.639700,1.655200,1.637400,1.650600,1.650600,0
2005-12-21,1.650500,1.652400,1.640600,1.647000,1.647000,0
2005-12-22,1.647200,1.648500,1.636400,1.639500,1.639500,0
2005-12-23,1.639500,1.643100,1.637400,1.638600,1.638600,0
2005-12-26,1.639800,1.643300,1.634700,1.642900,1.642900,0
2005-12-27,1.643200,1.645600,1.637900,1.641700,1.641700,0
2005-12-28,1.641800,1.654500,1.631600,1.650400,1.650400,0
2005-12-29,1.650400,1.651500,1.636600,1.636800,1.636800,0
2005-12-30,1.636900,1.644600,1.631500,1.636400,1.636400,0
2006-01-02,1.636200,1.639200,1.633100,1.638400,1.638400,0
2006-01-03,1.638400,1.638400,1.610000,1.609800,1.609800,0
2006-01-04,1.610400,1.621200,1.602500,1.615800,1.615800,0
2006-01-05,1.615600,1.624500,1.614500,1.621100,1.621100,0
2006-01-06,1.621300,1.624000,1.611500,1.614000,1.614000,0
2006-01-09,1.616000,1.625000,1.607200,1.609100,1.609100,0
2006-01-10,1.609300,1.614500,1.604800,1.612200,1.612200,0
2006-01-11,1.612200,1.614000,1.595700,1.596500,1.596500,0
2006-01-12,1.596700,1.613400,1.593700,1.609400,1.609400,0
2006-01-13,1.610000,1.610600,1.595400,1.595800,1.595800,0
2006-01-16,1.592800,1.611700,1.592200,1.610700,1.610700,0
2006-01-17,1.611100,1.617900,1.602600,1.604100,1.604100,0
2006-01-18,1.604300,1.608300,1.597900,1.604200,1.604200,0
2006-01-19,1.604000,1.609400,1.599200,1.603500,1.603500,0
2006-01-20,1.603300,1.608000,1.594700,1.595500,1.595500,0
2006-01-23,1.590900,1.596600,1.575800,1.592100,1.592100,0
2006-01-24,1.592300,1.598300,1.591800,1.598200,1.598200,0
2006-01-25,1.598100,1.602900,1.591000,1.602100,1.602100,0
2006-01-26,1.602200,1.603400,1.594600,1.600600,1.600600,0
2006-01-27,1.600600,1.614100,1.595100,1.613500,1.613500,0
2006-01-30,1.611700,1.615600,1.607100,1.608800,1.608800,0
2006-01-31,1.609000,1.609200,1.589400,1.594200,1.594200,0
2006-02-01,1.594200,1.607600,1.592100,1.606000,1.606000,0
2006-02-02,1.605900,1.610900,1.603000,1.606100,1.606100,0
2006-02-03,1.605900,1.620400,1.602600,1.613300,1.613300,0
2006-02-06,1.612800,1.620100,1.600900,1.604700,1.604700,0
2006-02-07,1.604500,1.606000,1.598100,1.601100,1.601100,0
2006-02-08,1.601300,1.613600,1.600900,1.608500,1.608500,0
2006-02-09,1.608500,1.608800,1.603000,1.603000,1.603000,0
2006-02-10,1.602400,1.610400,1.593300,1.608900,1.608900,0
2006-02-13,1.609600,1.611900,1.602200,1.602400,1.602400,0
2006-02-14,1.603000,1.606900,1.598600,1.600000,1.600000,0
2006-02-15,1.599700,1.606600,1.596800,1.605400,1.605400,0
2006-02-16,1.605800,1.612300,1.604600,1.605700,1.605700,0
2006-02-17,1.605500,1.611600,1.601200,1.601200,1.601200,0
2006-02-20,1.600300,1.603800,1.596800,1.603000,1.603000,0
2006-02-21,1.603100,1.608000,1.602700,1.604500,1.604500,0
2006-02-22,1.604500,1.611100,1.601400,1.601900,1.601900,0
2006-02-23,1.602300,1.605300,1.594700,1.603700,1.603700,0
2006-02-24,1.603900,1.607900,1.598400,1.602700,1.602700,0
2006-02-27,1.607500,1.609200,1.596300,1.598500,1.598500,0
2006-02-28,1.598600,1.600000,1.589900,1.591100,1.591100,0
2006-03-01,1.591200,1.599300,1.588900,1.596600,1.596600,0
2006-03-02,1.596600,1.597200,1.578800,1.579900,1.579900,0
2006-03-03,1.580300,1.595100,1.579800,1.590600,1.590600,0
2006-03-06,1.584800,1.606600,1.584800,1.603400,1.603400,0
2006-03-07,1.603300,1.618700,1.602600,1.610300,1.610300,0
2006-03-08,1.610300,1.612300,1.603700,1.605400,1.605400,0
2006-03-09,1.605100,1.606200,1.600500,1.604900,1.604900,0
2006-03-10,1.604900,1.610100,1.601600,1.603800,1.603800,0
2006-03-13,1.602300,1.603400,1.596500,1.597400,1.597400,0
2006-03-14,1.597400,1.600700,1.589500,1.590900,1.590900,0
2006-03-15,1.591300,1.596900,1.587900,1.589600,1.589600,0
2006-03-16,1.589500,1.595100,1.579300,1.581100,1.581100,0
2006-03-17,1.581100,1.594300,1.579200,1.588900,1.588900,0
2006-03-20,1.590300,1.592700,1.585600,1.589000,1.589000,0
2006-03-21,1.589500,1.601400,1.589100,1.598000,1.598000,0
2006-03-22,1.597900,1.603100,1.589500,1.593100,1.593100,0
2006-03-23,1.592900,1.605100,1.590700,1.603300,1.603300,0
2006-03-24,1.603800,1.604600,1.584800,1.586400,1.586400,0
2006-03-27,1.586700,1.597200,1.583400,1.596400,1.596400,0
2006-03-28,1.596100,1.601300,1.587300,1.599700,1.599700,0
2006-03-29,1.599900,1.603000,1.592300,1.594600,1.594600,0
2006-03-30,1.594600,1.596200,1.582100,1.582500,1.582500,0
2006-03-31,1.582900,1.594100,1.581600,1.591200,1.591200,0
2006-04-03,1.590500,1.601200,1.580600,1.582100,1.582100,0
2006-04-04,1.582000,1.588900,1.575100,1.576700,1.576700,0
2006-04-05,1.576800,1.584000,1.573700,1.580400,1.580400,0
2006-04-06,1.580200,1.593700,1.575100,1.592200,1.592200,0
2006-04-07,1.592200,1.597400,1.575400,1.591800,1.591800,0
2006-04-10,1.589600,1.591800,1.580800,1.582100,1.582100,0
2006-04-11,1.582200,1.590600,1.578100,1.584600,1.584600,0
2006-04-12,1.584600,1.597400,1.581900,1.592000,1.592000,0
2006-04-13,1.591600,1.594200,1.581200,1.581600,1.581600,0
2006-04-14,1.581600,1.583600,1.581400,1.582200,1.582200,0
2006-04-17,1.579900,1.579900,1.559500,1.563700,1.563700,0
2006-04-18,1.564000,1.582600,1.561500,1.568100,1.568100,0
2006-04-19,1.567800,1.581600,1.567300,1.570600,1.570600,0
2006-04-20,1.570600,1.577500,1.569500,1.574400,1.574400,0
2006-04-21,1.574600,1.578500,1.567600,1.568800,1.568800,0
2006-04-24,1.565100,1.569400,1.559300,1.562300,1.562300,0
2006-04-25,1.562700,1.565200,1.557700,1.559000,1.559000,0
2006-04-26,1.559000,1.570200,1.558200,1.563200,1.563200,0
2006-04-27,1.563100,1.566300,1.546600,1.548600,1.548600,0
2006-04-28,1.548700,1.562000,1.544800,1.549300,1.549300,0
2006-05-01,1.550700,1.558100,1.543300,1.556100,1.556100,0
2006-05-02,1.556200,1.558400,1.545700,1.556800,1.556800,0
2006-05-03,1.556800,1.557700,1.548000,1.552600,1.552600,0
2006-05-04,1.552500,1.557800,1.540900,1.543100,1.543100,0
2006-05-05,1.542900,1.553000,1.541600,1.548100,1.548100,0
2006-05-08,1.547700,1.549400,1.540700,1.549000,1.549000,0
2006-05-09,1.548900,1.553400,1.533900,1.535200,1.535200,0
2006-05-10,1.535300,1.543700,1.531300,1.543100,1.543100,0
2006-05-11,1.543400,1.553300,1.526000,1.527200,1.527200,0
2006-05-12,1.527200,1.547500,1.516800,1.540000,1.540000,0
2006-05-15,1.535100,1.558900,1.535100,1.558500,1.558500,0
2006-05-16,1.558200,1.559500,1.551500,1.555300,1.555300,0
2006-05-17,1.554900,1.564600,1.540300,1.560000,1.560000,0
2006-05-18,1.560300,1.561600,1.543800,1.546400,1.546400,0
2006-05-19,1.546700,1.572000,1.545100,1.564200,1.564200,0
2006-05-22,1.563900,1.571800,1.553400,1.556900,1.556900,0
2006-05-23,1.557400,1.563600,1.551200,1.562700,1.562700,0
2006-05-24,1.562400,1.577700,1.551100,1.574000,1.574000,0
2006-05-25,1.573400,1.576200,1.566800,1.569100,1.569100,0
2006-05-26,1.569000,1.574200,1.553200,1.563100,1.563100,0
2006-05-29,1.562700,1.563200,1.557700,1.559600,1.559600,0
2006-05-30,1.559600,1.560200,1.544000,1.553200,1.553200,0
2006-05-31,1.553200,1.560900,1.549100,1.560000,1.560000,0
2006-06-01,1.560000,1.567200,1.552700,1.554000,1.554000,0
2006-06-02,1.554000,1.555300,1.540000,1.542400,1.542400,0
2006-06-05,1.541600,1.544600,1.535600,1.544600,1.544600,0
2006-06-06,1.544600,1.561800,1.540600,1.560500,1.560500,0
2006-06-07,1.560300,1.564700,1.558500,1.559800,1.559800,0
2006-06-08,1.560000,1.586700,1.559300,1.584700,1.584700,0
2006-06-09,1.584700,1.587100,1.569100,1.573600,1.573600,0
2006-06-12,1.576400,1.578600,1.567900,1.572000,1.572000,0
2006-06-13,1.571900,1.579400,1.569700,1.578000,1.578000,0
2006-06-14,1.578000,1.578400,1.561800,1.566300,1.566300,0
2006-06-15,1.566400,1.570600,1.562900,1.564500,1.564500,0
2006-06-16,1.564600,1.569300,1.560600,1.566800,1.566800,0
2006-06-19,1.567500,1.578900,1.566700,1.576000,1.576000,0
2006-06-20,1.576000,1.578800,1.563500,1.566700,1.566700,0
2006-06-21,1.566600,1.568100,1.560300,1.563700,1.563700,0
2006-06-22,1.563800,1.574500,1.561600,1.570900,1.570900,0
2006-06-23,1.571000,1.580600,1.570400,1.576100,1.576100,0
2006-06-26,1.577700,1.578200,1.568900,1.570900,1.570900,0
2006-06-27,1.570400,1.574500,1.567500,1.574000,1.574000,0
2006-06-28,1.574100,1.580600,1.572200,1.577500,1.577500,0
2006-06-29,1.577500,1.580000,1.556000,1.556900,1.556900,0
2006-06-30,1.557000,1.562600,1.548700,1.553700,1.553700,0
2006-07-03,1.552700,1.563500,1.551500,1.560800,1.560800,0
2006-07-04,1.560800,1.561500,1.554400,1.556900,1.556900,0
2006-07-05,1.556900,1.567500,1.551700,1.564500,1.564500,0
2006-07-06,1.564500,1.565900,1.554700,1.555200,1.555200,0
2006-07-07,1.555300,1.556200,1.546200,1.549700,1.549700,0
2006-07-10,1.551400,1.558100,1.550300,1.552700,1.552700,0
2006-07-11,1.552300,1.556500,1.549300,1.550800,1.550800,0
2006-07-12,1.550800,1.563500,1.549500,1.559900,1.559900,0
2006-07-13,1.559800,1.562800,1.555600,1.558600,1.558600,0
2006-07-14,1.558600,1.567600,1.558300,1.566300,1.566300,0
2006-07-17,1.566800,1.580000,1.566400,1.572600,1.572600,0
2006-07-18,1.572600,1.574300,1.564700,1.571100,1.571100,0
2006-07-19,1.571100,1.575000,1.557600,1.558800,1.558800,0
2006-07-20,1.558800,1.562800,1.554600,1.561500,1.561500,0
2006-07-21,1.561300,1.561800,1.554600,1.554600,1.554600,0
2006-07-24,1.554600,1.565900,1.554600,1.561600,1.561600,0
2006-07-25,1.561600,1.571000,1.556000,1.568900,1.568900,0
2006-07-26,1.568800,1.570800,1.541800,1.543200,1.543200,0
2006-07-27,1.543400,1.561100,1.538800,1.560300,1.560300,0
2006-07-28,1.560100,1.563100,1.550200,1.552600,1.552600,0
2006-07-31,1.550700,1.554800,1.549600,1.551900,1.551900,0
2006-08-01,1.551900,1.562300,1.550000,1.551400,1.551400,0
2006-08-02,1.551400,1.560300,1.549400,1.559000,1.559000,0
2006-08-03,1.558800,1.564000,1.548600,1.552100,1.552100,0
2006-08-04,1.552200,1.554500,1.538300,1.542000,1.542000,0
2006-08-07,1.541300,1.556700,1.540100,1.555700,1.555700,0
2006-08-08,1.555700,1.559300,1.547600,1.559700,1.559700,0
2006-08-09,1.560100,1.560100,1.544600,1.552100,1.552100,0
2006-08-10,1.552300,1.559000,1.545200,1.554000,1.554000,0
2006-08-11,1.554000,1.559100,1.552200,1.558700,1.558700,0
2006-08-14,1.557600,1.558900,1.553200,1.557400,1.557400,0
2006-08-15,1.557400,1.563200,1.553400,1.554700,1.554700,0
2006-08-16,1.554900,1.556800,1.543700,1.546400,1.546400,0
2006-08-17,1.546300,1.555000,1.542300,1.553000,1.553000,0
2006-08-18,1.552900,1.554100,1.546400,1.548400,1.548400,0
2006-08-21,1.547200,1.550600,1.539200,1.549500,1.549500,0
2006-08-22,1.549700,1.556100,1.548300,1.553300,1.553300,0
2006-08-23,1.553100,1.555900,1.547200,1.555200,1.555200,0
2006-08-24,1.555000,1.562600,1.548700,1.561900,1.561900,0
2006-08-25,1.562000,1.563200,1.553900,1.556900,1.556900,0
2006-08-28,1.556400,1.557100,1.549100,1.555600,1.555600,0
2006-08-29,1.555600,1.557700,1.547500,1.548600,1.548600,0
2006-08-30,1.548600,1.551000,1.546300,1.547900,1.547900,0
2006-08-31,1.548000,1.556700,1.545400,1.554500,1.554500,0
2006-09-01,1.554500,1.555800,1.545600,1.546700,1.546700,0
2006-09-04,1.544300,1.547800,1.542600,1.547500,1.547500,0
2006-09-05,1.547600,1.551600,1.543600,1.544600,1.544600,0
2006-09-06,1.544700,1.548500,1.543500,1.543100,1.543100,0
2006-09-07,1.542900,1.553700,1.541700,1.548400,1.548400,0
2006-09-08,1.548500,1.555500,1.547300,1.554000,1.554000,0
2006-09-11,1.553700,1.556300,1.546000,1.551100,1.551100,0
2006-09-12,1.551100,1.559600,1.548900,1.557700,1.557700,0
2006-09-13,1.557900,1.560300,1.549800,1.551700,1.551700,0
2006-09-14,1.551700,1.555100,1.548700,1.552600,1.552600,0
2006-09-15,1.552600,1.563100,1.550700,1.561500,1.561500,0
2006-09-18,1.562300,1.566100,1.557200,1.559400,1.559400,0
2006-09-19,1.559300,1.565800,1.555700,1.560200,1.560200,0
2006-09-20,1.560200,1.562900,1.557100,1.561500,1.561500,0
2006-09-21,1.561500,1.561700,1.550400,1.552500,1.552500,0
2006-09-22,1.552200,1.567900,1.546500,1.565200,1.565200,0
2006-09-25,1.565800,1.569400,1.560200,1.563400,1.563400,0
2006-09-26,1.563600,1.570300,1.561500,1.563000,1.563000,0
2006-09-27,1.563200,1.567000,1.561400,1.564000,1.564000,0
2006-09-28,1.563900,1.567800,1.560800,1.564900,1.564900,0
2006-09-29,1.564700,1.570500,1.554800,1.560000,1.560000,0
2006-10-02,1.557900,1.563500,1.554400,1.556500,1.556500,0
2006-10-03,1.556600,1.558800,1.553600,1.557200,1.557200,0
2006-10-04,1.557200,1.564800,1.556800,1.557600,1.557600,0
2006-10-05,1.557500,1.565400,1.556700,1.563000,1.563000,0
2006-10-06,1.563100,1.572900,1.559900,1.569700,1.569700,0
2006-10-09,1.571000,1.571600,1.566000,1.567500,1.567500,0
2006-10-10,1.567500,1.574000,1.565800,1.569100,1.569100,0
2006-10-11,1.569100,1.569200,1.561900,1.566000,1.566000,0
2006-10-12,1.566200,1.566500,1.560700,1.561500,1.561500,0
2006-10-13,1.561400,1.566400,1.557700,1.564500,1.564500,0
2006-10-16,1.564200,1.565900,1.557200,1.557500,1.557500,0
