Date,Open,High,Low,Close,Adj Close,Volume
2005-12-01,0.957440,0.957440,0.957440,0.957440,0.957440,0
2005-12-02,0.956940,0.956940,0.956940,0.956940,0.956940,0
2005-12-05,0.957080,0.957080,0.957080,0.957080,0.957080,0
2005-12-06,0.957310,0.957310,0.956300,0.956300,0.956300,0
2005-12-07,0.958080,0.958080,0.957440,0.957440,0.957440,0
2005-12-08,0.957580,0.958210,0.957580,0.958210,0.958210,0
2005-12-09,0.956440,0.957840,0.956220,0.957180,0.957180,0
2005-12-12,0.957630,0.957630,0.957630,0.957630,0.957630,0
2005-12-13,0.951820,0.958380,0.951820,0.958380,0.958380,0
2005-12-14,0.958760,0.958760,0.958760,0.958760,0.958760,0
2005-12-15,0.957850,0.957850,0.957850,0.957850,0.957850,0
2005-12-16,0.958460,0.958460,0.958460,0.958460,0.958460,0
2005-12-19,0.958840,0.959240,0.958840,0.959240,0.959240,0
2005-12-20,0.961140,0.961140,0.958590,0.958590,0.958590,0
2005-12-21,0.957840,0.957840,0.957840,0.957840,0.957840,0
2005-12-22,0.958180,0.958180,0.958180,0.958180,0.958180,0
2005-12-23,0.956960,0.956960,0.956960,0.956960,0.956960,0
2005-12-26,0.957520,0.957520,0.957520,0.957520,0.957520,0
2005-12-27,0.958130,0.958130,0.958130,0.958130,0.958130,0
2005-12-28,0.957870,0.957870,0.957870,0.957870,0.957870,0
2005-12-29,0.957530,0.957530,0.957530,0.957530,0.957530,0
2005-12-30,0.958420,0.958420,0.958420,0.958420,0.958420,0
2006-01-02,0.957290,0.957290,0.957290,0.957290,0.957290,0
2006-01-03,0.953620,0.958150,0.953620,0.958150,0.958150,0
2006-01-04,0.958260,0.958260,0.955050,0.955050,0.955050,0
2006-01-05,0.958760,0.958760,0.958390,0.958390,0.958390,0
2006-01-06,0.958130,0.958130,0.953440,0.953440,0.953440,0
2006-01-09,0.958420,0.958420,0.958420,0.958420,0.958420,0
2006-01-10,0.959200,0.959200,0.959200,0.959200,0.959200,0
2006-01-11,0.958410,0.958410,0.958410,0.958410,0.958410,0
2006-01-12,0.958850,0.959980,0.958850,0.959980,0.959980,0
2006-01-13,0.958780,0.958780,0.958780,0.958780,0.958780,0
2006-01-16,0.958740,0.958740,0.958740,0.958740,0.958740,0
2006-01-17,0.958730,0.958730,0.958730,0.958730,0.958730,0
2006-01-18,0.954340,0.954340,0.954340,0.954340,0.954340,0
2006-01-19,0.957900,0.957900,0.957900,0.957900,0.957900,0
2006-01-20,0.958340,0.958340,0.958180,0.958180,0.958180,0
2006-01-23,0.959990,0.959990,0.959950,0.959950,0.959950,0
