Date,Open,High,Low,Close,Adj Close,Volume
2007-07-11,0.899610,0.902890,0.898400,0.902160,0.902160,0
2007-07-12,0.902200,0.909860,0.899350,0.908340,0.908340,0
2007-07-13,0.908310,0.911860,0.908010,0.911200,0.911200,0
2007-07-16,0.911860,0.912390,0.907330,0.908620,0.908620,0
2007-07-17,0.908680,0.911200,0.907330,0.909750,0.909750,0
2007-07-18,0.909720,0.910720,0.906990,0.907820,0.907820,0
2007-07-19,0.907750,0.908910,0.906020,0.908060,0.908060,0
2007-07-20,0.907990,0.913650,0.907330,0.910710,0.910710,0
2007-07-23,0.910510,0.912910,0.909850,0.912440,0.912440,0
2007-07-24,0.912440,0.912580,0.906620,0.907960,0.907960,0
2007-07-25,0.908060,0.921790,0.907990,0.920210,0.920210,0
2007-07-26,0.920250,0.921450,0.912130,0.913190,0.913190,0
2007-07-27,0.913320,0.920450,0.912140,0.914150,0.914150,0
2007-07-30,0.914490,0.914890,0.911130,0.911490,0.911490,0
2007-07-31,0.911490,0.912590,0.908270,0.911560,0.911560,0
2007-08-01,0.911660,0.913300,0.909260,0.911480,0.911480,0
2007-08-02,0.911550,0.919040,0.911450,0.915680,0.915680,0
2007-08-03,0.915680,0.916960,0.907520,0.909530,0.909530,0
2007-08-06,0.907430,0.912830,0.905950,0.912040,0.912040,0
2007-08-07,0.911970,0.912680,0.908710,0.912410,0.912410,0
2007-08-08,0.912480,0.913480,0.906850,0.908230,0.908230,0
2007-08-09,0.908300,0.924600,0.907410,0.923830,0.923830,0
2007-08-10,0.923930,0.925310,0.916520,0.917730,0.917730,0
2007-08-13,0.917560,0.920550,0.912900,0.916420,0.916420,0
2007-08-14,0.916350,0.919320,0.909890,0.913950,0.913950,0
2007-08-15,0.914090,0.919520,0.914020,0.919210,0.919210,0
2007-08-16,0.919080,0.922410,0.914920,0.915710,0.915710,0
2007-08-17,0.915640,0.918670,0.912500,0.915470,0.915470,0
2007-08-20,0.915740,0.916690,0.912230,0.913580,0.913580,0
2007-08-21,0.913920,0.922080,0.911150,0.922080,0.922080,0
2007-08-22,0.922080,0.922350,0.908720,0.909420,0.909420,0
2007-08-23,0.909390,0.924120,0.906610,0.923950,0.923950,0
2007-08-24,0.923950,0.924080,0.915160,0.916500,0.916500,0
2007-08-27,0.915930,0.917240,0.914590,0.916470,0.916470,0
2007-08-28,0.916500,0.917510,0.912480,0.917170,0.917170,0
2007-08-29,0.917100,0.922330,0.915220,0.918490,0.918490,0
2007-08-30,0.918620,0.923010,0.914290,0.915360,0.915360,0
2007-08-31,0.915230,0.916830,0.910380,0.915680,0.915680,0
2007-09-03,0.916020,0.916590,0.913680,0.915190,0.915190,0
2007-09-04,0.915190,0.923450,0.914350,0.919080,0.919080,0
2007-09-05,0.919180,0.924430,0.918040,0.919350,0.919350,0
2007-09-06,0.919310,0.923470,0.918300,0.920330,0.920330,0
2007-09-07,0.920230,0.922250,0.914620,0.915920,0.915920,0
2007-09-10,null,null,null,null,null,null
2007-09-11,0.917620,0.925290,0.916190,0.923620,0.923620,0
2007-09-12,0.923780,0.926480,0.918670,0.923920,0.923920,0
2007-09-13,0.923820,0.925420,0.917890,0.920210,0.920210,0
2007-09-14,0.920240,0.930060,0.918520,0.928150,0.928150,0
2007-09-17,0.928750,0.929590,0.917190,0.918610,0.918610,0
2007-09-18,0.918610,0.920840,0.910030,0.910610,0.910610,0
2007-09-19,0.910610,0.923130,0.910120,0.921280,0.921280,0
2007-09-20,0.921250,0.926820,0.915420,0.923390,0.923390,0
2007-09-21,0.923660,0.929480,0.920940,0.926510,0.926510,0
2007-09-24,0.926580,0.926710,0.922480,0.925530,0.925530,0
2007-09-25,0.925530,0.926150,0.918130,0.918200,0.918200,0
2007-09-26,0.918320,0.921520,0.917420,0.920280,0.920280,0
2007-09-27,0.920350,0.928450,0.918530,0.927590,0.927590,0
2007-09-28,0.927530,0.931400,0.924970,0.925750,0.925750,0
2007-10-01,0.925430,0.932320,0.925010,0.930940,0.930940,0
2007-10-02,0.930940,0.936300,0.930780,0.932690,0.932690,0
2007-10-03,0.932560,0.936990,0.929570,0.936130,0.936130,0
2007-10-04,0.936230,0.937290,0.924530,0.925310,0.925310,0
2007-10-05,0.925180,0.928940,0.921130,0.922730,0.922730,0
2007-10-08,0.921780,0.926020,0.921520,0.925390,0.925390,0
2007-10-09,0.925330,0.933240,0.925100,0.928180,0.928180,0
2007-10-10,0.928120,0.934520,0.925460,0.933700,0.933700,0
2007-10-11,0.933700,0.933890,0.921760,0.924190,0.924190,0
2007-10-12,0.924190,0.926080,0.922090,0.923390,0.923390,0
2007-10-15,0.924690,0.930160,0.919980,0.929670,0.929670,0
2007-10-16,0.929700,0.933310,0.922170,0.923080,0.923080,0
2007-10-17,0.923210,0.924220,0.921230,0.921840,0.921840,0
2007-10-18,0.921940,0.925530,0.918450,0.922870,0.922870,0
2007-10-19,0.922940,0.930830,0.921620,0.927740,0.927740,0
2007-10-22,0.925470,0.933520,0.924310,0.928100,0.928100,0
2007-10-23,0.928230,0.928490,0.921710,0.922740,0.922740,0
2007-10-24,0.922940,0.945210,0.922320,0.941870,0.941870,0
2007-10-25,0.941830,0.946860,0.938710,0.944740,0.944740,0
