Date,Open,High,Low,Close,Adj Close,Volume
2009-08-10,206.449997,206.449997,206.449997,206.449997,206.449997,0
2009-08-11,205.949997,205.949997,205.949997,205.949997,205.949997,0
2009-08-12,205.949997,205.949997,205.949997,205.949997,205.949997,0
2009-08-13,206.449997,206.449997,206.449997,206.449997,206.449997,0
2009-08-14,200.000000,200.000000,200.000000,200.000000,200.000000,0
2009-08-17,200.000000,200.000000,200.000000,200.000000,200.000000,0
2009-08-18,200.000000,200.000000,200.000000,200.000000,200.000000,0
2009-08-19,200.000000,200.000000,200.000000,200.000000,200.000000,0
2009-08-20,200.000000,200.000000,200.000000,200.000000,200.000000,0
2009-08-21,206.699997,206.699997,206.699997,206.699997,206.699997,0
2009-08-24,200.000000,200.000000,200.000000,200.000000,200.000000,0
2009-08-25,200.000000,200.000000,200.000000,200.000000,200.000000,0
2009-08-26,200.000000,200.000000,200.000000,200.000000,200.000000,0
2009-08-27,200.000000,200.000000,200.000000,200.000000,200.000000,0
2009-08-28,206.699997,206.699997,206.699997,206.699997,206.699997,0
2009-08-31,200.000000,200.000000,200.000000,200.000000,200.000000,0
2009-09-01,200.000000,200.000000,200.000000,200.000000,200.000000,0
2009-09-02,200.000000,200.000000,200.000000,200.000000,200.000000,0
2009-09-03,200.000000,200.000000,200.000000,200.000000,200.000000,0
2009-09-04,206.449997,206.449997,206.449997,206.449997,206.449997,0
2009-09-07,200.000000,200.000000,200.000000,200.000000,200.000000,0
2009-09-08,200.000000,200.000000,200.000000,200.000000,200.000000,0
2009-09-09,200.000000,200.000000,200.000000,200.000000,200.000000,0
2009-09-10,200.000000,200.000000,200.000000,200.000000,200.000000,0
2009-09-11,206.399994,206.399994,206.399994,206.399994,206.399994,0
2009-09-14,200.000000,200.000000,200.000000,200.000000,200.000000,0
2009-09-15,200.000000,200.000000,200.000000,200.000000,200.000000,0
2009-09-16,200.000000,200.000000,200.000000,200.000000,200.000000,0
2009-09-17,200.000000,200.000000,200.000000,200.000000,200.000000,0
2009-09-18,206.699997,206.699997,206.699997,206.699997,206.699997,0
2009-09-21,200.000000,200.000000,200.000000,200.000000,200.000000,0
2009-09-22,200.000000,200.000000,200.000000,200.000000,200.000000,0
2009-09-23,200.000000,200.000000,200.000000,200.000000,200.000000,0
2009-09-24,200.000000,200.000000,200.000000,200.000000,200.000000,0
2009-09-25,206.949997,206.949997,206.949997,206.949997,206.949997,0
2009-09-28,null,null,null,null,null,null
2009-09-29,206.449997,206.449997,206.449997,206.449997,206.449997,0
2009-09-30,205.699997,205.699997,205.699997,205.699997,205.699997,0
2009-10-01,206.199997,206.199997,206.199997,206.199997,206.199997,0
2009-10-02,205.449997,205.449997,205.449997,205.449997,205.449997,0
2009-10-05,null,null,null,null,null,null
2009-10-06,null,null,null,null,null,null
2009-10-07,null,null,null,null,null,null
2009-10-08,205.699997,205.699997,205.699997,205.699997,205.699997,0
2009-10-09,206.449997,206.449997,206.449997,206.449997,206.449997,0
2009-10-12,205.949997,205.949997,205.949997,205.949997,205.949997,0
2009-10-13,205.949997,205.949997,205.949997,205.949997,205.949997,0
2009-10-14,205.949997,205.949997,205.949997,205.949997,205.949997,0
2009-10-15,204.199997,204.199997,204.199997,204.199997,204.199997,0
2009-10-16,205.699997,205.699997,205.699997,205.699997,205.699997,0
2009-10-19,206.199997,206.199997,206.199997,205.699997,205.699997,0
2009-10-20,null,null,null,null,null,null
2009-10-21,206.449997,206.449997,206.449997,206.449997,206.449997,0
2009-10-22,205.949997,205.949997,205.949997,205.949997,205.949997,0
2009-10-23,205.949997,205.949997,205.949997,205.949997,205.949997,0
2009-10-26,null,null,null,null,null,null
2009-10-27,206.449997,206.449997,206.449997,206.449997,206.449997,0
2009-10-28,206.449997,206.449997,206.449997,206.449997,206.449997,0
2009-10-29,206.449997,206.449997,206.449997,206.449997,206.449997,0
2009-10-30,205.949997,205.949997,205.949997,205.949997,205.949997,0
2009-11-02,205.949997,205.949997,205.949997,205.949997,205.949997,0
2009-11-03,204.949997,204.949997,204.949997,204.949997,204.949997,0
2009-11-04,206.199997,206.199997,206.199997,206.199997,206.199997,0
2009-11-05,206.449997,206.449997,206.449997,206.449997,206.449997,0
2009-11-06,205.949997,205.949997,205.949997,205.949997,205.949997,0
2009-11-09,204.699997,204.699997,204.699997,204.699997,204.699997,0
2009-11-10,206.699997,206.699997,206.699997,206.699997,206.699997,0
2009-11-11,206.449997,206.449997,206.449997,206.449997,206.449997,0
2009-11-12,205.699997,205.699997,205.699997,205.699997,205.699997,0
2009-11-13,205.699997,205.699997,205.699997,205.699997,205.699997,0
2009-11-16,null,null,null,null,null,null
2009-11-17,205.949997,205.949997,205.949997,205.949997,205.949997,0
2009-11-18,205.949997,205.949997,205.949997,205.949997,205.949997,0
2009-11-19,205.699997,205.699997,205.699997,205.699997,205.699997,0
2009-11-20,205.699997,205.699997,205.699997,205.699997,205.699997,0
2009-11-23,null,null,null,null,null,null
2009-11-24,null,null,null,null,null,null
2009-11-25,null,null,null,null,null,null
2009-11-26,null,null,null,null,null,null
2009-11-27,204.000000,204.000000,204.000000,204.000000,204.000000,0
2009-11-30,null,null,null,null,null,null
2009-12-01,206.199997,206.199997,206.199997,206.199997,206.199997,0
2009-12-02,205.949997,205.949997,205.949997,205.949997,205.949997,0
2009-12-03,null,null,null,null,null,null
2009-12-04,null,null,null,null,null,null
2009-12-07,null,null,null,null,null,null
2009-12-08,206.199997,206.199997,206.199997,206.199997,206.199997,0
2009-12-09,205.949997,205.949997,205.949997,205.949997,205.949997,0
