Date,Open,High,Low,Close,Adj Close,Volume
2005-12-01,2167.000000,2170.000000,2155.000000,2166.000000,2166.000000,0
2005-12-02,2166.000000,2174.000000,2166.000000,2171.000000,2171.000000,0
2005-12-05,2165.000000,2172.000000,2160.000000,2160.000000,2160.000000,0
2005-12-06,2160.000000,2163.000000,2155.000000,2160.000000,2160.000000,0
2005-12-07,2160.000000,2168.000000,2130.000000,2168.000000,2168.000000,0
2005-12-08,2168.000000,2170.000000,2128.000000,2160.000000,2160.000000,0
2005-12-09,2160.000000,2168.000000,2150.000000,2168.000000,2168.000000,0
2005-12-12,2168.000000,2168.000000,2140.000000,2147.000000,2147.000000,0
2005-12-13,2147.000000,2147.000000,2135.000000,2141.000000,2141.000000,0
2005-12-14,2141.000000,2141.000000,2125.000000,2134.000000,2134.000000,0
2005-12-15,2134.000000,2135.000000,2125.000000,2126.000000,2126.000000,0
2005-12-16,2126.000000,2137.000000,2126.000000,2136.000000,2136.000000,0
2005-12-19,2056.500000,2130.000000,2056.500000,2130.000000,2130.000000,0
2005-12-20,2130.000000,2142.000000,2130.000000,2135.000000,2135.000000,0
2005-12-21,2135.000000,2148.000000,2135.000000,2145.000000,2145.000000,0
2005-12-22,2145.000000,2159.000000,2145.000000,2159.000000,2159.000000,0
2005-12-23,2159.000000,2159.000000,2148.000000,2156.000000,2156.000000,0
2005-12-26,2156.000000,2156.000000,2156.000000,2156.000000,2156.000000,0
2005-12-27,2156.000000,2163.000000,2156.000000,2160.000000,2160.000000,0
2005-12-28,2160.000000,2164.000000,2100.000000,2155.000000,2155.000000,0
2005-12-29,2155.000000,2158.000000,2140.000000,2140.000000,2140.000000,0
2005-12-30,2140.000000,2156.000000,2120.000000,2155.000000,2155.000000,0
2006-01-02,2155.000000,2158.000000,2150.000000,2155.000000,2155.000000,0
2006-01-03,2155.000000,2155.000000,2135.000000,2135.000000,2135.000000,0
2006-01-04,2135.000000,2135.000000,2120.000000,2120.000000,2120.000000,0
2006-01-05,2120.000000,2131.000000,2115.000000,2115.000000,2115.000000,0
2006-01-06,2115.000000,2135.000000,2100.000000,2130.000000,2130.000000,0
2006-01-09,2130.000000,2137.000000,2118.000000,2134.000000,2134.000000,0
2006-01-10,2134.000000,2140.000000,2120.000000,2120.000000,2120.000000,0
2006-01-11,2120.000000,2145.000000,2120.000000,2145.000000,2145.000000,0
2006-01-12,2145.000000,2145.000000,2135.000000,2144.000000,2144.000000,0
2006-01-13,2144.000000,2145.000000,2140.000000,2145.000000,2145.000000,0
2006-01-16,2145.000000,2145.000000,2120.000000,2125.000000,2125.000000,0
2006-01-17,2125.000000,2143.000000,2120.000000,2140.000000,2140.000000,0
2006-01-18,2140.000000,2150.000000,2140.000000,2150.000000,2150.000000,0
2006-01-19,2150.000000,2150.000000,2110.000000,2147.000000,2147.000000,0
2006-01-20,2147.000000,2155.000000,2142.000000,2151.000000,2151.000000,0
2006-01-23,2151.000000,2151.000000,2120.000000,2130.000000,2130.000000,0
2006-01-24,2130.000000,2134.000000,2110.000000,2125.000000,2125.000000,0
2006-01-25,2125.000000,2128.000000,2115.000000,2128.000000,2128.000000,0
2006-01-26,2128.000000,2128.000000,2110.000000,2126.000000,2126.000000,0
2006-01-27,2126.000000,2127.000000,2115.000000,2125.000000,2125.000000,0
2006-01-30,2125.000000,2142.000000,2125.000000,2125.000000,2125.000000,0
2006-01-31,2125.000000,2145.000000,2125.000000,2140.000000,2140.000000,0
2006-02-01,2140.000000,2144.000000,2110.000000,2110.000000,2110.000000,0
2006-02-02,2110.000000,2151.000000,2110.000000,2135.000000,2135.000000,0
2006-02-03,2135.000000,2156.000000,2130.000000,2130.000000,2130.000000,0
2006-02-06,2130.000000,2157.000000,2130.000000,2140.000000,2140.000000,0
2006-02-07,2140.000000,2160.000000,2140.000000,2152.000000,2152.000000,0
2006-02-08,2152.000000,2160.000000,2135.000000,2135.000000,2135.000000,0
2006-02-09,2135.000000,2162.000000,2120.000000,2162.000000,2162.000000,0
2006-02-10,2162.000000,2163.000000,2150.000000,2161.000000,2161.000000,0
2006-02-13,2166.000000,2174.000000,2166.000000,2174.000000,2174.000000,0
2006-02-14,2174.000000,2176.000000,2160.000000,2160.000000,2160.000000,0
2006-02-15,2160.000000,2178.000000,2160.000000,2178.000000,2178.000000,0
2006-02-16,2178.000000,2178.000000,2125.000000,2167.000000,2167.000000,0
2006-02-17,2167.000000,2183.000000,2120.000000,2165.000000,2165.000000,0
2006-02-20,2165.000000,2175.000000,2165.000000,2174.000000,2174.000000,0
2006-02-21,2174.000000,2182.000000,2155.000000,2155.000000,2155.000000,0
