Date,Open,High,Low,Close,Adj Close,Volume
2005-12-01,6.470000,6.470000,6.463500,6.463500,6.463500,0
2005-12-02,6.463500,6.463500,6.443500,6.443500,6.443500,0
2005-12-05,6.335100,6.350000,6.335100,6.350000,6.350000,0
2005-12-06,6.350000,6.350000,6.320000,6.320000,6.320000,0
2005-12-07,6.320000,6.320000,6.280000,6.280000,6.280000,0
2005-12-08,6.280000,6.323500,6.280000,6.323500,6.323500,0
2005-12-09,6.323500,6.323500,6.309600,6.309600,6.309600,0
2005-12-12,6.360000,6.360000,6.300000,6.300500,6.300500,0
2005-12-13,6.306000,6.341000,6.265000,6.285000,6.285000,0
2005-12-14,6.285000,6.337300,6.245000,6.315000,6.315000,0
2005-12-15,6.315000,6.430000,6.305500,6.425000,6.425000,0
2005-12-16,6.425000,6.453900,6.385000,6.385000,6.385000,0
2005-12-19,6.234700,6.378500,6.234700,6.335100,6.335100,0
2005-12-20,6.331300,6.353300,6.306800,6.345000,6.345000,0
2005-12-21,6.349300,6.382200,6.338800,6.350000,6.350000,0
2005-12-22,6.350000,6.391500,6.335000,6.335000,6.335000,0
2005-12-23,6.335000,6.368500,6.320000,6.320000,6.320000,0
2005-12-26,6.334800,6.358000,6.317600,6.335000,6.335000,0
2005-12-27,6.337300,6.356000,6.305000,6.339800,6.339800,0
2005-12-28,6.339800,6.363600,6.305000,6.308800,6.308800,0
2005-12-29,6.308800,6.336800,6.293600,6.303800,6.303800,0
2005-12-30,6.300000,6.335000,6.292600,6.315000,6.315000,0
2006-01-02,6.335000,6.335000,6.297200,6.305000,6.305000,0
2006-01-03,6.305000,6.312200,6.185600,6.186600,6.186600,0
2006-01-04,6.205000,6.205000,6.115000,6.125500,6.125500,0
2006-01-05,6.125500,6.182200,6.115000,6.135000,6.135000,0
2006-01-06,6.128500,6.158500,6.045000,6.045000,6.045000,0
2006-01-09,6.045800,6.104500,6.005000,6.015000,6.015000,0
2006-01-10,6.020600,6.106300,6.015000,6.065000,6.065000,0
2006-01-11,6.055000,6.131200,5.965000,5.965000,5.965000,0
2006-01-12,5.972800,6.067500,5.955000,6.045000,6.045000,0
2006-01-13,6.035000,6.086500,5.983500,6.011600,6.011600,0
2006-01-16,6.001000,6.008500,5.960300,5.980000,5.980000,0
2006-01-17,5.980000,6.032700,5.972500,5.995000,5.995000,0
2006-01-18,5.995000,6.063300,5.995000,6.033000,6.033000,0
2006-01-19,6.035500,6.050700,5.936000,5.945800,5.945800,0
2006-01-20,5.945000,6.009500,5.945000,5.974600,5.974600,0
2006-01-23,5.988500,5.991000,5.925000,5.935000,5.935000,0
2006-01-24,5.935000,6.042800,5.925000,5.993300,5.993300,0
2006-01-25,5.985300,6.037500,5.985000,6.020000,6.020000,0
2006-01-26,6.020000,6.103500,6.015000,6.075000,6.075000,0
2006-01-27,6.085000,6.134700,6.066600,6.116500,6.116500,0
2006-01-30,6.105000,6.163300,6.085000,6.086000,6.086000,0
2006-01-31,6.086000,6.108000,6.027300,6.031300,6.031300,0
2006-02-01,6.027600,6.106000,6.027600,6.075100,6.075100,0
2006-02-02,6.075100,6.129500,6.042500,6.053100,6.053100,0
2006-02-03,6.045000,6.050000,6.044600,6.045000,6.045000,0
2006-02-06,6.058600,6.078600,6.058600,6.078600,6.078600,0
2006-02-07,6.078600,6.100000,6.078600,6.100000,6.100000,0
2006-02-08,6.100000,6.186500,6.100000,6.186500,6.186500,0
2006-02-09,6.186500,6.186500,6.179600,6.179600,6.179600,0
2006-02-10,6.179600,6.179600,6.088500,6.088500,6.088500,0
2006-02-13,6.112000,6.112000,6.112000,6.112000,6.112000,0
2006-02-14,6.112000,6.152500,6.112000,6.152500,6.152500,0
2006-02-15,6.152500,6.186500,6.082600,6.186500,6.186500,0
2006-02-16,6.186500,6.186500,6.086200,6.086200,6.086200,0
2006-02-17,6.086200,6.086200,6.050000,6.050000,6.050000,0
2006-02-20,5.980000,6.005000,5.980000,6.005000,6.005000,0
