Date,Open,High,Low,Close,Adj Close,Volume
2005-12-01,3.414000,3.415000,3.411000,3.411500,3.411500,0
2005-12-02,3.411500,3.411500,3.401500,3.409000,3.409000,0
2005-12-05,3.409000,3.410500,3.406000,3.408500,3.408500,0
2005-12-06,3.408500,3.410000,3.408000,3.408500,3.408500,0
2005-12-07,3.408500,3.409000,3.407000,3.408500,3.408500,0
2005-12-08,3.413000,3.413000,3.407500,3.407500,3.407500,0
2005-12-09,3.407500,3.411500,3.407000,3.408000,3.408000,0
2005-12-12,3.408000,3.439000,3.408000,3.439000,3.439000,0
2005-12-13,3.439000,3.443000,3.433000,3.434500,3.434500,0
2005-12-14,3.434500,3.440000,3.434500,3.435500,3.435500,0
2005-12-15,3.435500,3.440500,3.435500,3.437500,3.437500,0
2005-12-16,3.437500,3.437500,3.437500,3.437000,3.437000,0
2005-12-19,3.289400,3.439500,3.289400,3.435500,3.435500,0
2005-12-20,3.435500,3.439000,3.435500,3.437500,3.437500,0
2005-12-21,3.437500,3.439000,3.427500,3.427500,3.427500,0
2005-12-22,3.427500,3.427500,3.406000,3.406000,3.406000,0
2005-12-23,3.406000,3.437500,3.406000,3.408000,3.408000,0
2005-12-26,3.408000,3.437500,3.408000,3.410000,3.410000,0
2005-12-27,3.410000,3.422000,3.407000,3.416000,3.416000,0
2005-12-28,3.416000,3.425500,3.415500,3.425500,3.425500,0
2005-12-29,3.425500,3.429000,3.423500,3.427000,3.427000,0
2005-12-30,3.427000,3.448000,3.418000,3.418000,3.418000,0
2006-01-02,3.418000,3.437500,3.418000,3.423000,3.423000,0
2006-01-03,3.423000,3.437500,3.422000,3.434000,3.434000,0
2006-01-04,3.434000,3.440000,3.430500,3.432500,3.432500,0
2006-01-05,3.432500,3.441000,3.432000,3.440000,3.440000,0
2006-01-06,3.440000,3.441000,3.439000,3.441000,3.441000,0
2006-01-09,3.441000,3.445000,3.440000,3.442000,3.442000,0
2006-01-10,3.442000,3.443000,3.441000,3.442000,3.442000,0
2006-01-11,3.442000,3.445000,3.440300,3.440300,3.440300,0
2006-01-12,3.440300,3.445000,3.440300,3.440300,3.440300,0
2006-01-13,3.440300,3.454000,3.440300,3.445000,3.445000,0
2006-01-16,3.445000,3.449000,3.428000,3.429000,3.429000,0
2006-01-17,3.429000,3.429000,3.406000,3.406000,3.406000,0
2006-01-18,3.406000,3.406000,3.364500,3.371000,3.371000,0
2006-01-19,3.371000,3.371000,3.349500,3.358000,3.358000,0
2006-01-20,3.358000,3.359000,3.351800,3.359000,3.359000,0
2006-01-23,3.359000,3.359000,3.348500,3.349500,3.349500,0
2006-01-24,3.349500,3.349500,3.325500,3.334000,3.334000,0
2006-01-25,3.334000,3.346000,3.333500,3.345000,3.345000,0
2006-01-26,3.345000,3.345000,3.313000,3.313000,3.313000,0
2006-01-27,3.313000,3.318000,3.313000,3.318000,3.318000,0
2006-01-30,3.318000,3.318000,3.300500,3.311000,3.311000,0
2006-01-31,3.311000,3.316000,3.305000,3.305000,3.305000,0
2006-02-01,3.305000,3.307000,3.301500,3.307000,3.307000,0
2006-02-02,3.307000,3.311500,3.307000,3.308000,3.308000,0
2006-02-03,3.308000,3.308000,3.285500,3.308000,3.308000,0
2006-02-06,3.290000,3.290500,3.285000,3.288000,3.288000,0
2006-02-07,3.288000,3.294000,3.279500,3.280500,3.280500,0
2006-02-08,3.280500,3.282500,3.277000,3.282000,3.282000,0
2006-02-09,3.282000,3.291000,3.282000,3.290500,3.290500,0
2006-02-10,3.290500,3.290800,3.285500,3.287500,3.287500,0
2006-02-13,3.287000,3.287000,3.281000,3.287000,3.287000,0
2006-02-14,3.287000,3.290000,3.286000,3.290000,3.290000,0
2006-02-15,3.290000,3.290000,3.286000,3.286000,3.286000,0
2006-02-16,3.286000,3.286000,3.282000,3.282000,3.282000,0
2006-02-17,3.282000,3.283500,3.281500,3.282000,3.282000,0
2006-02-20,3.283000,3.283000,3.282000,3.282000,3.282000,0
2006-02-21,3.282000,3.282000,3.282000,3.282000,3.282000,0
2006-02-22,3.282000,3.282000,3.279500,3.282000,3.282000,0
2006-02-23,3.282000,3.282000,3.278500,3.282000,3.282000,0
2006-02-24,3.282000,3.282000,3.281000,3.282000,3.282000,0
2006-02-27,3.282000,3.286000,3.281000,3.286000,3.286000,0
2006-02-28,3.286000,3.294000,3.285000,3.294000,3.294000,0
2006-03-01,3.294000,3.311500,3.293500,3.311500,3.311500,0
2006-03-02,3.311500,3.345000,3.311500,3.345000,3.345000,0
2006-03-03,3.345000,3.345000,3.318000,3.318000,3.318000,0
2006-03-06,3.318000,3.345000,3.318000,3.326500,3.326500,0
2006-03-07,3.326500,3.337500,3.326500,3.333500,3.333500,0
2006-03-08,3.333500,3.344000,3.332000,3.332000,3.332000,0
2006-03-09,3.332000,3.332000,3.323000,3.325500,3.325500,0
2006-03-10,3.325500,3.333000,3.325500,3.329000,3.329000,0
2006-03-13,3.326000,3.355000,3.326000,3.355000,3.355000,0
2006-03-14,3.355000,3.355000,3.334000,3.335000,3.335000,0
2006-03-15,3.335000,3.355000,3.326000,3.326000,3.326000,0
2006-03-16,3.326000,3.327000,3.320000,3.322500,3.322500,0
2006-03-17,3.322500,3.337000,3.320000,3.334000,3.334000,0
2006-03-20,3.334000,3.359000,3.334000,3.353000,3.353000,0
2006-03-21,3.353000,3.353000,3.343000,3.345000,3.345000,0
2006-03-22,3.198300,3.345000,3.198300,3.344000,3.344000,0
2006-03-23,3.344000,3.363000,3.344000,3.363000,3.363000,0
2006-03-24,3.216700,3.363000,3.216700,3.365000,3.365000,0
2006-03-27,3.214500,3.362500,3.214500,3.362500,3.362500,0
2006-03-28,3.219300,3.219300,3.200000,3.213900,3.213900,0
2006-03-29,3.185000,3.185000,3.185000,3.318500,3.318500,0
2006-03-30,3.194500,3.345000,3.170500,3.170500,3.170500,0
2006-03-31,3.198600,3.198900,3.198600,3.346500,3.346500,0
2006-04-03,3.194900,3.219600,3.194900,3.370000,3.370000,0
2006-04-04,3.196800,3.358000,3.196800,3.358000,3.358000,0
2006-04-05,3.220400,3.220400,3.210700,3.211000,3.211000,0
2006-04-06,3.221200,3.370000,3.221200,3.370000,3.370000,0
2006-04-07,3.228200,3.356000,3.221600,3.356000,3.356000,0
2006-04-10,3.250700,3.250700,3.208500,3.208500,3.208500,0
2006-04-11,3.210700,3.325000,3.177400,3.325000,3.325000,0
2006-04-12,3.188200,3.334000,3.188200,3.315000,3.315000,0
2006-04-13,3.198600,3.198600,3.170700,3.170700,3.170700,0
2006-04-14,3.168100,3.168100,3.166900,3.166900,3.166900,0
2006-04-17,3.161800,3.161800,3.161800,3.318000,3.318000,0
2006-04-18,3.130200,3.166400,3.130200,3.306500,3.306500,0
2006-04-19,3.142600,3.163900,3.142600,3.310000,3.310000,0
2006-04-20,3.170300,3.170300,3.170300,3.170300,3.170300,0
2006-04-21,3.177700,3.177700,3.169500,3.311000,3.311000,0
2006-04-24,3.157500,3.320000,3.157500,3.320000,3.320000,0
2006-04-25,3.169700,3.315000,3.165400,3.315000,3.315000,0
