Date,Open,High,Low,Close,Adj Close,Volume
2007-12-19,2.000000,2.000000,2.000000,2.000000,2.000000,0
2007-12-20,1.995300,1.995300,1.993600,1.993600,1.993600,0
2007-12-21,1.990900,1.992000,1.990900,1.992000,1.992000,0
2007-12-24,1.990900,1.990900,1.990900,1.990900,1.990900,0
2007-12-25,1.990100,1.990100,1.990100,1.990100,1.990100,0
2007-12-26,null,null,null,null,null,null
2007-12-27,2.004600,2.004600,2.004600,2.004600,2.004600,0
2007-12-28,1.992900,2.003700,1.992900,2.003300,2.003300,0
2007-12-31,2.004300,2.021000,2.004300,2.021000,2.021000,0
2008-01-01,2.021100,2.021100,2.021100,2.021100,2.021100,0
2008-01-02,2.013700,2.013700,2.013700,2.013700,2.013700,0
2008-01-03,2.014700,2.020300,2.014700,2.020300,2.020300,0
2008-01-04,2.020600,2.020600,2.020600,2.020600,2.020600,0
2008-01-07,2.013500,2.013500,2.013500,2.013500,2.013500,0
2008-01-08,2.013700,2.017600,2.013700,2.017600,2.017600,0
2008-01-09,2.016000,2.016000,2.015100,2.015100,2.015100,0
2008-01-10,2.013100,2.013100,2.013100,2.013100,2.013100,0
2008-01-11,1.991900,2.016100,1.991900,2.016100,2.016100,0
2008-01-14,2.016600,2.021300,2.016600,2.021300,2.021300,0
2008-01-15,2.019700,2.019700,2.015800,2.015800,2.015800,0
2008-01-16,2.013300,2.013300,2.010200,2.010200,2.010200,0
2008-01-17,2.007300,2.007300,1.994900,1.994900,1.994900,0
2008-01-18,1.996700,1.996700,1.996700,1.996700,1.996700,0
2008-01-21,2.014800,2.022700,2.014800,2.022700,2.022700,0
2008-01-22,2.024600,2.024600,2.024600,2.024600,2.024600,0
2008-01-23,1.996500,2.034700,1.996500,2.034700,2.034700,0
2008-01-24,2.037600,2.037600,2.037600,2.037600,2.037600,0
2008-01-25,2.030200,2.030200,2.029700,2.029700,2.029700,0
2008-01-28,2.019600,2.019600,2.019600,2.019600,2.019600,0
2008-01-29,2.013100,2.021800,2.013100,2.021800,2.021800,0
2008-01-30,2.022000,2.022000,2.013400,2.013400,2.013400,0
2008-01-31,2.015600,2.015600,2.007700,2.007700,2.007700,0
2008-02-01,2.005900,2.005900,2.005900,2.005900,2.005900,0
2008-02-04,2.001900,2.001900,2.001900,2.001900,2.001900,0
2008-02-05,2.002900,2.009100,2.002900,2.009100,2.009100,0
2008-02-06,2.010200,2.010200,2.005100,2.005100,2.005100,0
2008-02-07,2.005400,2.023700,2.005400,2.023700,2.023700,0
2008-02-08,2.024400,2.024400,2.019700,2.019700,2.019700,0
2008-02-11,2.007900,2.024500,2.007900,2.024500,2.024500,0
2008-02-12,2.026200,2.026200,2.026200,2.026200,2.026200,0
2008-02-13,1.964200,1.971400,1.964200,1.971400,1.971400,0
2008-02-14,1.971900,1.971900,1.971900,1.971900,1.971900,0
2008-02-15,1.965500,1.984700,1.965500,1.984700,1.984700,0
2008-02-18,1.980900,1.980900,1.980900,1.980900,1.980900,0
2008-02-19,1.976800,1.982500,1.976800,1.982500,1.982500,0
2008-02-20,1.982500,1.982500,1.982500,1.982500,1.982500,0
2008-02-21,1.974200,1.974200,1.974200,1.974200,1.974200,0
2008-02-22,1.969800,1.981800,1.969800,1.981800,1.981800,0
2008-02-25,1.967600,1.967600,1.967600,1.967600,1.967600,0
2008-02-26,1.964900,1.964900,1.964900,1.964900,1.964900,0
2008-02-27,1.977400,1.977400,1.977400,1.977400,1.977400,0
2008-02-28,1.970000,1.970000,1.970000,1.970000,1.970000,0
2008-02-29,1.966900,1.980600,1.966900,1.980600,1.980600,0
2008-03-03,1.973700,1.980500,1.973700,1.980500,1.980500,0
2008-03-04,1.980900,1.984000,1.980900,1.984000,1.984000,0
2008-03-05,1.984500,1.984500,1.984500,1.984500,1.984500,0
2008-03-06,1.971100,1.982800,1.971100,1.982800,1.982800,0
2008-03-07,1.975600,1.982700,1.975600,1.982700,1.982700,0
2008-03-10,1.982800,1.982800,1.982800,1.982800,1.982800,0
2008-03-11,1.983800,2.000000,1.983800,2.000000,2.000000,0
2008-03-12,1.998200,1.998200,1.998200,1.998200,1.998200,0
2008-03-13,1.972900,2.000000,1.972900,2.000000,2.000000,0
2008-03-14,1.996900,1.996900,1.996900,1.996900,1.996900,0
2008-03-17,1.994500,1.994500,1.994500,1.994500,1.994500,0
2008-03-18,1.998900,1.998900,1.994400,1.994400,1.994400,0
2008-03-19,2.012800,2.012800,1.992000,2.001100,2.001100,0
2008-03-20,2.008900,2.008900,1.993300,1.993800,1.993800,0
2008-03-21,1.998200,1.998200,1.996000,1.996000,1.996000,0
2008-03-24,2.005600,2.005600,2.005600,2.005600,2.005600,0
2008-03-25,1.991900,1.991900,1.991900,1.991900,1.991900,0
2008-03-26,1.984400,1.986900,1.984400,1.986900,1.986900,0
2008-03-27,1.988100,1.996500,1.988100,1.996400,1.996400,0
2008-03-28,2.000000,2.007600,2.000000,2.007600,2.007600,0
2008-03-31,1.998900,2.005700,1.998900,2.005700,2.005700,0
2008-04-01,null,null,null,null,null,null
2008-04-02,2.001300,2.001300,2.001300,2.001300,2.001300,0
2008-04-03,1.994600,1.994600,1.994600,1.994600,1.994600,0
2008-04-04,1.984700,1.997500,1.984700,1.997500,1.997500,0
2008-04-07,1.998300,1.998300,1.998300,1.998300,1.998300,0
2008-04-08,1.987300,2.003100,1.987300,2.003100,2.003100,0
2008-04-09,2.000000,2.000000,2.000000,2.000000,2.000000,0
2008-04-10,1.984500,2.015400,1.984500,2.015400,2.015400,0
2008-04-11,2.013000,2.013000,1.997700,1.997700,1.997700,0
2008-04-14,1.996600,1.996600,1.996600,1.996600,1.996600,0
2008-04-15,1.997000,2.004400,1.997000,2.004400,2.004400,0
2008-04-16,2.002600,2.002600,2.002600,2.002600,2.002600,0
2008-04-17,2.001100,2.003200,2.001100,2.003200,2.003200,0
2008-04-18,2.003800,2.003800,1.992200,1.992200,1.992200,0
2008-04-21,1.992800,1.992800,1.992800,1.992800,1.992800,0
2008-04-22,1.990500,1.990500,1.990500,1.990500,1.990500,0
2008-04-23,1.983300,1.987900,1.983300,1.987900,1.987900,0
2008-04-24,1.998200,1.998200,1.996500,1.996500,1.996500,0
2008-04-25,1.996300,1.996300,1.996000,1.996000,1.996000,0
2008-04-28,1.998200,2.000000,1.998200,2.000000,2.000000,0
2008-04-29,2.000000,2.000000,2.000000,2.000000,2.000000,0
2008-04-30,1.998300,1.998300,1.998300,1.998300,1.998300,0
2008-05-01,null,null,null,null,null,null
2008-05-02,2.009000,2.011700,2.009000,2.011700,2.011700,0
2008-05-05,2.004100,2.004100,2.004100,2.004100,2.004100,0
2008-05-06,2.000000,2.009200,2.000000,2.006000,2.006000,0
2008-05-07,2.010700,2.013900,2.010700,2.013900,2.013900,0
2008-05-08,2.022200,2.022200,2.002900,2.002900,2.002900,0
2008-05-09,2.002300,2.010500,2.002300,2.010500,2.010500,0
2008-05-12,2.000000,2.000000,2.000000,2.000000,2.000000,0
2008-05-13,2.020600,2.020800,2.020600,2.020800,2.020800,0
2008-05-14,2.021000,2.021000,2.021000,2.021000,2.021000,0
2008-05-15,2.007600,2.019800,2.007600,2.019800,2.019800,0
2008-05-16,2.017200,2.017200,2.017200,2.017200,2.017200,0
2008-05-19,2.012800,2.020000,2.012800,2.020000,2.020000,0
2008-05-20,2.019800,2.019800,2.019800,2.019800,2.019800,0
2008-05-21,2.002400,2.002400,2.002400,2.002400,2.002400,0
2008-05-22,2.000000,2.007300,2.000000,2.007300,2.007300,0
2008-05-23,2.008100,2.008100,2.008100,2.008100,2.008100,0
2008-05-26,1.990900,1.990900,1.990900,1.990900,1.990900,0
