Date,Open,High,Low,Close,Adj Close,Volume
2005-12-01,6.239000,6.239000,6.239000,6.239000,6.239000,0
2005-12-02,6.239000,6.239000,6.239000,6.239000,6.239000,0
2005-12-05,6.239000,6.239000,6.239000,6.239000,6.239000,0
2005-12-06,6.239000,6.239000,6.239000,6.239000,6.239000,0
2005-12-07,6.239000,6.239000,6.239000,6.239000,6.239000,0
2005-12-08,6.239000,6.239000,6.239000,6.239000,6.239000,0
2005-12-09,6.239000,6.239000,6.239000,6.239000,6.239000,0
2005-12-12,6.239000,6.239000,6.235000,6.235000,6.235000,0
2005-12-13,6.235000,6.236100,6.235000,6.236100,6.236100,0
2005-12-14,6.236100,6.236100,6.222000,6.222000,6.222000,0
2005-12-15,6.222000,6.267500,6.222000,6.267500,6.267500,0
2005-12-16,6.267500,6.273900,6.267500,6.273900,6.273900,0
2005-12-19,6.182000,6.241100,6.182000,6.241100,6.241100,0
2005-12-20,6.241100,6.241100,6.226000,6.226000,6.226000,0
2005-12-21,6.226000,6.226000,6.209300,6.209300,6.209300,0
2005-12-22,6.209300,6.209300,6.208200,6.208200,6.208200,0
2005-12-23,6.208200,6.256800,6.208200,6.256800,6.256800,0
2005-12-26,6.256800,6.256800,6.256800,6.256800,6.256800,0
2005-12-27,6.256800,6.256800,6.256800,6.256800,6.256800,0
2005-12-28,6.256800,6.256800,6.240300,6.240300,6.240300,0
2005-12-29,6.240300,6.240300,6.201100,6.201100,6.201100,0
2005-12-30,6.201100,6.246900,6.201100,6.246900,6.246900,0
2006-01-02,6.286700,6.286700,6.286700,6.286700,6.286700,0
2006-01-03,6.286700,6.286700,6.286700,6.286700,6.286700,0
2006-01-04,6.286700,6.286700,6.280200,6.280200,6.280200,0
2006-01-05,6.280200,6.280200,6.239900,6.239900,6.239900,0
2006-01-06,6.239900,6.239900,6.201300,6.201300,6.201300,0
2006-01-09,6.201300,6.222500,6.201300,6.222500,6.222500,0
2006-01-10,6.222500,6.238600,6.222500,6.238600,6.238600,0
2006-01-11,6.238600,6.238600,6.236500,6.236500,6.236500,0
2006-01-12,6.236500,6.275800,6.236500,6.275800,6.275800,0
2006-01-13,6.275800,6.275800,6.250200,6.250200,6.250200,0
2006-01-16,6.254300,6.254300,6.254300,6.254300,6.254300,0
2006-01-17,6.254300,6.254300,6.206700,6.206700,6.206700,0
