Date,Open,High,Low,Close,Adj Close,Volume
2013-01-03,5.176200,5.176200,5.176200,5.189300,5.189300,0
2013-01-04,5.166700,5.166700,5.166700,5.202100,5.202100,0
2013-01-07,5.222300,5.223000,5.222300,5.142000,5.142000,0
2013-01-08,5.148100,5.153100,5.148100,5.189200,5.189200,0
2013-01-09,5.159400,5.159400,5.159400,5.165100,5.165100,0
2013-01-10,5.193700,5.193700,5.183900,5.155900,5.155900,0
2013-01-11,5.204100,5.204100,5.204100,5.114700,5.114700,0
2013-01-14,5.213700,5.213700,5.213700,5.171600,5.171600,0
2013-01-15,5.207200,5.225700,5.207200,5.208800,5.208800,0
2013-01-16,5.227300,5.227300,5.196200,5.233600,5.233600,0
2013-01-17,5.196200,5.196200,5.196200,5.205400,5.205400,0
2013-01-18,5.220600,5.220600,5.220600,5.189100,5.189100,0
2013-01-21,5.233200,5.244900,5.233200,5.233200,5.233200,0
2013-01-22,5.236400,5.236400,5.236400,5.242900,5.242900,0
2013-01-23,5.212500,5.212500,5.212500,5.242500,5.242500,0
2013-01-24,5.208200,5.208200,5.208200,5.225200,5.225200,0
2013-01-25,5.232300,5.232300,5.232300,5.190800,5.190800,0
2013-01-28,5.235300,5.235300,5.235300,5.223900,5.223900,0
2013-01-29,5.280600,5.280600,5.276900,5.231900,5.231900,0
2013-01-30,5.310900,5.310900,5.310900,5.257800,5.257800,0
2013-01-31,5.335800,5.335800,5.335800,5.302100,5.302100,0
2013-02-01,5.304400,5.304400,5.304400,5.325000,5.325000,0
2013-02-04,5.311100,5.311400,5.254400,5.304700,5.304700,0
2013-02-05,5.253100,5.275400,5.253100,5.273000,5.273000,0
2013-02-06,5.285900,5.289700,5.285900,5.246200,5.246200,0
2013-02-07,5.241900,5.241900,5.241900,5.289200,5.289200,0
2013-02-08,5.224500,5.224500,5.224500,5.310400,5.310400,0
2013-02-11,5.222300,5.222300,5.222300,5.244500,5.244500,0
2013-02-12,5.237200,5.237200,5.237200,5.218400,5.218400,0
2013-02-13,5.254900,5.254900,5.254900,5.231100,5.231100,0
2013-02-14,5.264000,5.264000,5.264000,5.273600,5.273600,0
2013-02-15,5.236800,5.236800,5.236800,5.249800,5.249800,0
2013-02-18,5.233200,5.244900,5.231900,5.220700,5.220700,0
2013-02-19,5.230300,5.230300,5.230300,5.244100,5.244100,0
2013-02-20,5.242900,5.242900,5.242900,5.210300,5.210300,0
2013-02-21,5.315200,5.316400,5.251100,5.280600,5.280600,0
2013-02-22,5.252700,5.252700,5.252700,5.246700,5.246700,0
2013-02-25,5.263600,5.263600,5.263600,5.245500,5.245500,0
2013-02-26,5.288100,5.288100,5.288100,5.346700,5.346700,0
2013-02-27,5.283700,5.283700,5.283700,5.293400,5.293400,0
2013-02-28,5.265500,5.265500,5.265500,5.274000,5.274000,0
2013-03-01,5.271700,5.271700,5.271700,5.288700,5.288700,0
2013-03-04,5.268600,5.268600,5.268600,5.268500,5.268500,0
2013-03-05,5.290900,5.290900,5.290900,5.257900,5.257900,0
2013-03-06,5.296800,5.296800,5.294800,5.286300,5.286300,0
2013-03-07,5.281400,5.281400,5.281400,5.321000,5.321000,0
2013-03-08,5.288900,5.288900,5.288900,5.248300,5.248300,0
2013-03-11,5.326500,5.326500,5.280600,5.331400,5.331400,0
2013-03-12,5.283300,5.283300,5.283300,5.266700,5.266700,0
2013-03-13,5.313600,5.313600,5.313600,5.275300,5.275300,0
2013-03-14,5.314300,5.314300,5.314300,5.332000,5.332000,0
2013-03-15,5.317300,5.317300,5.317300,5.276800,5.276800,0
2013-03-18,5.312100,5.312100,5.312100,5.310900,5.310900,0
2013-03-19,5.327300,5.327300,5.327300,5.310400,5.310400,0
2013-03-20,5.351400,5.351400,5.351400,5.360700,5.360700,0
2013-03-21,5.349400,5.349400,5.349400,5.342200,5.342200,0
2013-03-22,5.345700,5.345700,5.345700,5.360500,5.360500,0
2013-03-25,5.342600,5.342600,5.342600,5.328900,5.328900,0
2013-03-26,5.366500,5.366500,5.366500,5.398100,5.398100,0
2013-03-27,5.368200,5.368200,5.366700,5.364600,5.364600,0
2013-03-28,5.345400,5.345400,5.345400,5.362300,5.362300,0
2013-03-29,5.345400,5.345400,5.344500,5.362300,5.362300,0
2013-04-01,5.341500,5.341500,5.341500,5.344300,5.344300,0
2013-04-02,5.369800,5.369800,5.369800,5.341500,5.341500,0
2013-04-03,5.371700,5.371700,5.371700,5.375300,5.375300,0
2013-04-04,5.350800,5.350800,5.350800,5.360100,5.360100,0
2013-04-05,5.350300,5.350300,5.350300,5.298500,5.298500,0
2013-04-08,5.348100,5.348100,5.348100,5.350300,5.350300,0
2013-04-09,5.342300,5.351900,5.342300,5.351200,5.351200,0
2013-04-10,5.321900,5.321900,5.321900,5.333000,5.333000,0
2013-04-11,5.317900,5.317900,5.317900,5.333900,5.333900,0
2013-04-12,5.242000,5.242000,5.242000,5.330100,5.330100,0
2013-04-15,5.271700,5.276100,5.269000,5.222700,5.222700,0
2013-04-16,5.290800,5.290800,5.277900,5.284600,5.284600,0
2013-04-17,5.290300,5.290300,5.290300,5.261100,5.261100,0
2013-04-18,5.313900,5.314000,5.312900,5.334400,5.334400,0
2013-04-19,5.312500,5.319300,5.312500,5.326500,5.326500,0
2013-04-22,5.329700,5.329700,5.327700,5.331700,5.331700,0
2013-04-23,5.332200,5.332200,5.332000,5.321000,5.321000,0
2013-04-24,5.341400,5.341400,5.341400,5.329800,5.329800,0
2013-04-25,5.336200,5.338200,5.336200,5.342900,5.342900,0
2013-04-26,5.359100,5.359100,5.342600,5.362000,5.362000,0
2013-04-29,5.300300,5.300300,5.300300,5.330500,5.330500,0
2013-04-30,5.253400,5.253400,5.253400,5.295300,5.295300,0
2013-05-01,5.238100,5.238100,5.238100,5.216700,5.216700,0
2013-05-02,5.278200,5.278200,5.278200,5.248000,5.248000,0
2013-05-03,5.273500,5.273500,5.273500,5.320100,5.320100,0
2013-05-06,5.270200,5.270200,5.270200,5.272900,5.272900,0
2013-05-07,5.269000,5.269000,5.269000,5.281800,5.281800,0
2013-05-08,5.270800,5.270800,5.270800,5.289100,5.289100,0
2013-05-09,5.275600,5.275600,5.275600,5.259600,5.259600,0
2013-05-10,5.272400,5.272400,5.263700,5.318300,5.318300,0
2013-05-13,5.279900,5.291900,5.277300,5.276000,5.276000,0
2013-05-14,5.295200,5.295200,5.295200,5.294500,5.294500,0
2013-05-15,5.315200,5.315200,5.315200,5.311100,5.311100,0
2013-05-16,5.311700,5.311700,5.311700,5.307600,5.307600,0
2013-05-17,5.319900,5.319900,5.319900,5.302900,5.302900,0
2013-05-20,5.316400,5.316400,5.316400,5.329400,5.329400,0
2013-05-21,5.301500,5.301500,5.301500,5.305600,5.305600,0
2013-05-22,5.252500,5.252500,5.252500,5.284100,5.284100,0
2013-05-23,5.261500,5.261500,5.261500,5.282800,5.282800,0
2013-05-24,5.232000,5.244500,5.232000,5.242700,5.242700,0
2013-05-27,5.271800,5.271800,5.271800,5.257200,5.257200,0
2013-05-28,5.299100,5.299100,5.299100,5.275000,5.275000,0
2013-05-29,5.262200,5.262200,5.262200,5.331300,5.331300,0
2013-05-30,5.289200,5.289200,5.289200,5.267600,5.267600,0
2013-05-31,5.311700,5.311700,5.311700,5.263900,5.263900,0
2013-06-03,5.306700,5.306700,5.306700,5.308900,5.308900,0
2013-06-04,5.301300,5.301300,5.301300,5.282700,5.282700,0
2013-06-05,5.310900,5.310900,5.306500,5.305800,5.305800,0
2013-06-06,5.321200,5.321200,5.321200,5.300300,5.300300,0
2013-06-07,5.320300,5.320300,5.320300,5.268700,5.268700,0
